vocab_name,value_code,label_ja,definition,sort_order,deprecated,notes
\Salternative_priority,\Sprecheck,\S事前確認,\S汎用最適化前,\I1,\Sno,\S
\Sbacklog_status,\Sdeferred,\S延期,\S延期,\I4,\Sno,\S
\Sbacklog_status,\Sdone,\S完了,\S反映済み,\I3,\Sno,\S
\Sbacklog_status,\Sin_progress,\S進行中,\S作業中,\I2,\Sno,\S
\Sbacklog_status,\Sopen,\S未着手,\S未着手,\I1,\Sno,\S
\Sbeginner_priority,\Savoid_as_default,\S既定では避ける,\S無条件な第一選択にしない,\I5,\Sno,\S
\Sbeginner_priority,\Sexpert_guidance_recommended,\S専門家支援推奨,\S設計・設定に専門性,\I3,\Sno,\S
\Sbeginner_priority,\Sexpert_only,\S専門家向け,\S高度な知識が前提,\I4,\Sno,\S
\Sbeginner_priority,\Sfirst_try,\S最初に試す,\S初心者の第一候補,\I1,\Sno,\S
\Sbeginner_priority,\Ssecond_try,\S第二候補,\S次に試す,\I2,\Sno,\S
\Scase_method_role,\Savoid,\S回避,\S既定では回避,\I3,\Sno,\S
\Scase_method_role,\Sfirst_choice,\S第一候補,\S第一候補,\I1,\Sno,\S
\Scase_method_role,\Ssecond_choice,\S第二候補,\S第二候補,\I2,\Sno,\S
\Scheck_status,\Sfail,\S失敗,\Sreleaseを阻害する不整合,\I3,\Sno,\S
\Scheck_status,\Snot_run,\S未実行,\S検証を実行していない,\I4,\Sno,\S
\Scheck_status,\Spass,\S合格,\S検証条件を満たした,\I1,\Sno,\S
\Scheck_status,\Swarn,\S警告,\S利用可能だが追跡課題がある,\I2,\Sno,\S
\Scommercial_model,\Scommercial,\S商用,\S有償,\I2,\Sno,\S
\Scommercial_model,\Scommercial_with_free_tiers,\S商用・無償枠,\S学術等,\I3,\Sno,\S
\Scommercial_model,\Sfreeware,\S無償配布,\S無償,\I4,\Sno,\S
\Scommercial_model,\Smodeling_layer,\Sモデリング層,\Sbackend依存,\I5,\Sno,\S
\Scommercial_model,\Sopen_source,\SOSS,\S無償OSS,\I1,\Sno,\S
\Scommercial_model,\Sunknown,\S不明,\S未確認,\I6,\Sno,\S
\Sconfidence,\Shigh,\S高,\S公式資料または原典で直接確認,\I1,\Sno,\S
\Sconfidence,\Slow,\S低,\S限定的根拠,\I3,\Sno,\S
\Sconfidence,\Smedium,\S中,\S複数根拠があるが条件依存,\I2,\Sno,\S
\Sconfidence,\Sunverified,\S未確認,\S一次情報で未確認,\I4,\Sno,\S
\Scurrentness_status,\Shistorical_primary,\S歴史的一次資料,\S原著,\I3,\Sno,\S
\Scurrentness_status,\Snot_time_sensitive,\S時点非依存,\S理論資料,\I2,\Sno,\S
\Scurrentness_status,\Sverified_current,\S現行確認,\Sアクセス日に現行確認,\I1,\Sno,\S
\Sdecision_action_target_type,\Salternative,\S代替解法,\Salternative_solution_checks IDを参照する,\I3,\Sno,\S
\Sdecision_action_target_type,\Sfeature,\S特徴,\Sproblem_features IDを参照する,\I4,\Sno,\S
\Sdecision_action_target_type,\Smethod,\S手法,\Smethods IDを参照する,\I2,\Sno,\S
\Sdecision_action_target_type,\Snone,\S対象なし,\SID targetを持たない,\I5,\Sno,\S
\Sdecision_action_target_type,\Sproblem,\S問題,\Sproblem_archetypes IDを参照する,\I1,\Sno,\S
\Sdeterminism,\Sdeterministic,\S決定論的,\S同条件で同軌跡,\I1,\Sno,\S
\Sdeterminism,\Shybrid,\S混合,\S決定論と確率を併用,\I3,\Sno,\S
\Sdeterminism,\Simplementation_dependent,\S実装依存,\S並列・設定で変動,\I4,\Sno,\S
\Sdeterminism,\Sstochastic,\S確率的,\S乱数を利用,\I2,\Sno,\S
\Sdifficulty,\Sexpert,\S専門家,\S専門知識が前提,\I4,\Sno,\S
\Sdifficulty,\Shigh,\S高,\S高度な調整,\I3,\Sno,\S
\Sdifficulty,\Slow,\S低,\S開始しやすい,\I1,\Sno,\S
\Sdifficulty,\Smedium,\S中,\S基本調整が必要,\I2,\Sno,\S
\Sexactness,\Sapproximation,\S近似法,\S近似保証等,\I3,\Sno,\S
\Sexactness,\Sexact_with_tolerance,\S許容差内厳密法,\S証明と数値許容差,\I1,\Sno,\S
\Sexactness,\Sheuristic,\Sヒューリスティック,\S保証より探索,\I4,\Sno,\S
\Sexactness,\Slocal_numerical,\S局所数値法,\S局所解,\I2,\Sno,\S
\Sexactness,\Smetaheuristic,\Sメタヒューリスティック,\S汎用確率探索,\I5,\Sno,\S
\Sexactness,\Sstatistical,\S統計的探索,\Sサロゲート等,\I6,\Sno,\S
\Sfit_level,\Sconditional,\S条件付き,\S追加条件が必要,\I5,\Sno,\S
\Sfit_level,\Sdefault_choice,\S標準第一候補,\S通常条件で最初に検討,\I1,\Sno,\S
\Sfit_level,\Sgenerally_unsuitable,\S一般に不向き,\S通常は避ける,\I8,\Sno,\S
\Sfit_level,\Sincompatible,\S非対応,\S前提が非互換,\I9,\Sno,\S
\Sfit_level,\Slast_resort,\S最終手段,\S他が使えない場合,\I7,\Sno,\S
\Sfit_level,\Srecommended,\S推奨,\S有力候補,\I3,\Sno,\S
\Sfit_level,\Sspecialized,\S特殊用途,\S特定構造に強い,\I6,\Sno,\S
\Sfit_level,\Sstrongly_recommended,\S強く推奨,\S構造と強く整合,\I2,\Sno,\S
