case_implementation_map_id,case_id,implementation_id,role,sequence,notes,source_ids,confidence,last_verified
\SCIM0001,\SEC001,\SI_SCIPY_BFGS,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS001;S002,\Shigh,\S2026-07-13
\SCIM0002,\SEC001,\SI_OPTIMJL,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS052,\Shigh,\S2026-07-13
\SCIM0003,\SEC002,\SI_PETSC_TAO,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS019,\Shigh,\S2026-07-13
\SCIM0004,\SEC002,\SI_JAXOPT,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS046,\Shigh,\S2026-07-13
\SCIM0005,\SEC002,\SI_SCIPY_LBFGSB,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS001;S002;S065,\Shigh,\S2026-07-13
\SCIM0006,\SEC003,\SI_SCIPY_BFGS,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS001;S002,\Shigh,\S2026-07-13
\SCIM0007,\SEC003,\SI_SCIPY_COBYQA,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS001;S002,\Shigh,\S2026-07-13
\SCIM0008,\SEC004,\SI_NLOPT,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS018,\Shigh,\S2026-07-13
\SCIM0009,\SEC004,\SI_BOTORCH,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS035,\Shigh,\S2026-07-13
\SCIM0010,\SEC004,\SI_AX,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS036,\Shigh,\S2026-07-13
\SCIM0011,\SEC005,\SI_PYCMA,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS032,\Shigh,\S2026-07-13
\SCIM0012,\SEC005,\SI_BOTORCH,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS035,\Shigh,\S2026-07-13
\SCIM0013,\SEC006,\SI_BOTORCH,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS035,\Shigh,\S2026-07-13
\SCIM0014,\SEC006,\SI_AX,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS036,\Shigh,\S2026-07-13
\SCIM0015,\SEC007,\SI_BOTORCH,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS035,\Shigh,\S2026-07-13
\SCIM0016,\SEC007,\SI_NLOPT,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS018,\Shigh,\S2026-07-13
\SCIM0017,\SEC008,\SI_SCIPY_MILP_HIGHS,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS005;S016,\Shigh,\S2026-07-13
\SCIM0018,\SEC008,\SI_SCIP,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS021,\Shigh,\S2026-07-13
\SCIM0019,\SEC008,\SI_ORTOOLS_CPSAT,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS022;S079,\Shigh,\S2026-07-13
\SCIM0020,\SEC008,\SI_GUROBI,\Srepresentative,\I4,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0021,\SEC009,\SI_SCIP,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS021,\Shigh,\S2026-07-13
\SCIM0022,\SEC009,\SI_KNITRO,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS029,\Shigh,\S2026-07-13
\SCIM0023,\SEC009,\SI_GUROBI,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0024,\SEC010,\SI_SCIPY_LINPROG_HIGHS,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS004;S016,\Shigh,\S2026-07-13
\SCIM0025,\SEC010,\SI_HIGHS_NATIVE,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS016,\Shigh,\S2026-07-13
\SCIM0026,\SEC010,\SI_ORTOOLS_GLOP,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS078,\Shigh,\S2026-07-13
\SCIM0027,\SEC011,\SI_OSQP,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS012;S062,\Shigh,\S2026-07-13
\SCIM0028,\SEC011,\SI_CLARABEL,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS014,\Shigh,\S2026-07-13
\SCIM0029,\SEC011,\SI_GUROBI,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0030,\SEC012,\SI_GUROBI,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0031,\SEC012,\SI_SCIP,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS021,\Shigh,\S2026-07-13
\SCIM0032,\SEC012,\SI_MOSEK,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS028,\Shigh,\S2026-07-13
\SCIM0033,\SEC013,\SI_SCIPY_LEAST_SQUARES_LM,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS003,\Shigh,\S2026-07-13
\SCIM0034,\SEC013,\SI_CERES,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS041;S077,\Shigh,\S2026-07-13
\SCIM0035,\SEC014,\SI_CERES,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS041;S077,\Shigh,\S2026-07-13
\SCIM0036,\SEC014,\SI_SCIPY_LEAST_SQUARES_TRF,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS003,\Shigh,\S2026-07-13
\SCIM0037,\SEC015,\SI_JAXOPT,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS046,\Shigh,\S2026-07-13
\SCIM0038,\SEC015,\SI_CVXPY,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS010;S011,\Shigh,\S2026-07-13
\SCIM0039,\SEC016,\SI_PYMANOPT,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS044,\Shigh,\S2026-07-13
\SCIM0040,\SEC016,\SI_MANOPT_MATLAB,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS045,\Smedium,\S2026-07-13
\SCIM0041,\SEC016,\SI_CERES,\Srepresentative,\I4,\SRepresentative implementation; exact capability/version/options must be verified.,\SS041;S077,\Shigh,\S2026-07-13
\SCIM0042,\SEC017,\SI_PYMOO,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS039,\Shigh,\S2026-07-13
\SCIM0043,\SEC017,\SI_CVXPY,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS010;S011,\Shigh,\S2026-07-13
\SCIM0044,\SEC018,\SI_ORTOOLS_CPSAT,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS022;S079,\Shigh,\S2026-07-13
\SCIM0045,\SEC018,\SI_MINIZINC,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS053,\Shigh,\S2026-07-13
\SCIM0046,\SEC018,\SI_CPLEX,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS025,\Shigh,\S2026-07-13
\SCIM0047,\SEC019,\SI_ORTOOLS_ROUTING,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS023,\Shigh,\S2026-07-13
\SCIM0048,\SEC019,\SI_GUROBI,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0049,\SEC020,\SI_CASADI,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS042,\Shigh,\S2026-07-13
\SCIM0050,\SEC020,\SI_ACADOS,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS043;S076,\Shigh,\S2026-07-13
\SCIM0051,\SEC020,\SI_DRAKE,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS050,\Shigh,\S2026-07-13
\SCIM0052,\SEC021,\SI_PYTORCH_OPTIM,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS048,\Shigh,\S2026-07-13
\SCIM0053,\SEC021,\SI_TENSORFLOW_OPTIM,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS049,\Shigh,\S2026-07-13
\SCIM0054,\SEC021,\SI_OPTAX,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS047,\Shigh,\S2026-07-13
\SCIM0055,\SEC022,\SI_OPTUNA,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS034,\Shigh,\S2026-07-13
\SCIM0056,\SEC022,\SI_RAY_TUNE,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS038,\Shigh,\S2026-07-13
\SCIM0057,\SEC022,\SI_SMAC3,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS037,\Shigh,\S2026-07-13
\SCIM0058,\SEC023,\SI_GUROBI,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS024,\Shigh,\S2026-07-13
\SCIM0059,\SEC023,\SI_SCIP,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS021,\Shigh,\S2026-07-13
\SCIM0060,\SEC023,\SI_HIGHS_NATIVE,\Srepresentative,\I3,\SRepresentative implementation; exact capability/version/options must be verified.,\SS016,\Shigh,\S2026-07-13
\SCIM0061,\SEC024,\SI_ORTOOLS_ROUTING,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS023,\Shigh,\S2026-07-13
\SCIM0062,\SEC024,\SI_ORTOOLS_CPSAT,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS022;S079,\Shigh,\S2026-07-13
\SCIM0063,\SEC025,\SI_OSQP,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS012;S062,\Shigh,\S2026-07-13
\SCIM0064,\SEC025,\SI_ACADOS,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS043;S076,\Shigh,\S2026-07-13
\SCIM0065,\SEC026,\SI_PETSC_TAO,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS019,\Shigh,\S2026-07-13
\SCIM0066,\SEC026,\SI_IPOPT,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS017,\Shigh,\S2026-07-13
\SCIM0067,\SEC027,\SI_NOMAD,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS031,\Smedium,\S2026-07-13
\SCIM0068,\SEC027,\SI_NEVERGRAD,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS033,\Shigh,\S2026-07-13
\SCIM0069,\SEC028,\SI_SCIPY_LEAST_SQUARES_TRF,\Srepresentative,\I1,\SRepresentative implementation; exact capability/version/options must be verified.,\SS003,\Shigh,\S2026-07-13
\SCIM0070,\SEC028,\SI_CERES,\Srepresentative,\I2,\SRepresentative implementation; exact capability/version/options must be verified.,\SS041;S077,\Shigh,\S2026-07-13
\SCIM0071,\SEC016,\SI_MANOPT_JL,\Srepresentative,\I3,\SJulia-native representative implementation for Riemannian optimization.,\SS095,\Shigh,\S2026-07-13
