hierarchy_id,parent_method_id,child_method_id,relation_type,depth,is_primary_parent,rationale,source_ids,confidence,last_verified
\SMH0001,\SMF_SMOOTH_LOCAL,\SM_GRADIENT_DESCENT,\Sis_a,\I1,\Syes,\SGradient descent is classified under Smooth local continuous optimization.,\SS002;S056;S057,\Shigh,\S2026-07-13
\SMH0002,\SMF_SMOOTH_LOCAL,\SM_NLCG,\Sis_a,\I1,\Syes,\SNonlinear conjugate gradient is classified under Smooth local continuous optimization.,\SS002;S056;S057,\Shigh,\S2026-07-13
\SMH0003,\SMF_SMOOTH_LOCAL,\SM_NEWTON,\Sis_a,\I1,\Syes,\SNewton's method is classified under Smooth local continuous optimization.,\SS002;S056;S057,\Shigh,\S2026-07-13
\SMH0004,\SMF_SMOOTH_LOCAL,\SM_NEWTON_CG,\Sis_a,\I1,\Syes,\SNewton conjugate-gradient is classified under Smooth local continuous optimization.,\SS002;S056;S057,\Shigh,\S2026-07-13
\SMH0005,\SMF_SMOOTH_LOCAL,\SM_BFGS,\Sis_a,\I1,\Syes,\SBFGS is classified under Smooth local continuous optimization.,\SS002;S056;S057,\Shigh,\S2026-07-13
\SMH0006,\SMF_SMOOTH_LOCAL,\SM_LBFGS,\Sis_a,\I1,\Syes,\SLimited-memory BFGS is classified under Smooth local continuous optimization.,\SS002;S056;S057;S065,\Shigh,\S2026-07-13
\SMH0007,\SMF_SMOOTH_LOCAL,\SM_LBFGSB,\Sis_a,\I1,\Syes,\SL-BFGS-B is classified under Smooth local continuous optimization.,\SS002;S056;S057;S065,\Shigh,\S2026-07-13
\SMH0008,\SMF_TRUST_REGION,\SM_TRUST_NCG,\Sis_a,\I1,\Syes,\STrust-region Newton-CG is classified under Trust-region methods.,\SS002;S003;S056,\Shigh,\S2026-07-13
\SMH0009,\SMF_TRUST_REGION,\SM_TRUST_KRYLOV,\Sis_a,\I1,\Syes,\STrust-region Krylov is classified under Trust-region methods.,\SS002;S003;S056,\Shigh,\S2026-07-13
\SMH0010,\SMF_TRUST_REGION,\SM_TRUST_EXACT,\Sis_a,\I1,\Syes,\SNearly exact trust-region is classified under Trust-region methods.,\SS002;S003;S056,\Shigh,\S2026-07-13
\SMH0011,\SMF_TRUST_REGION,\SM_GAUSS_NEWTON,\Sis_a,\I1,\Syes,\SGauss-Newton is classified under Trust-region methods.,\SS002;S003;S056;S041,\Shigh,\S2026-07-13
\SMH0012,\SMF_TRUST_REGION,\SM_LEVENBERG_MARQUARDT,\Sis_a,\I1,\Syes,\SLevenberg-Marquardt is classified under Trust-region methods.,\SS002;S003;S056;S041,\Shigh,\S2026-07-13
