question_id,sequence,parent_question_id,question_ja,question_en,beginner_wording,answer_type,allowed_answers,mapped_feature_id,why_asked,show_conditions,expert_note,required,source_ids,confidence,last_verified
\SQ01,\I1,\S,\S変数は連続・整数・0-1・カテゴリ・混合のどれですか？,\SWhat variable types are present?,\S変数は連続・整数・0-1・カテゴリ・混合のどれですか？,\Ssingle_choice,\Scontinuous;integer;binary;categorical;mixed;structured_or_unknown,\SF_VARIABLE_DOMAIN,\S変数型は利用できるsolver familyを最初に大きく分ける。,\S,\Srelaxation/encodingで変換可能でも、元の可行性と保証を失わないか確認。,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ02,\I2,\S,\S目的関数と制約を数式・係数・計算graphとして記述できますか？,\SCan the objective and constraints be written explicitly?,\S目的関数と制約を数式・係数・計算graphとして記述できますか？,\Ssingle_choice,\Sexplicit_algebraic;residual_vector;automatic_differentiation_graph;simulation_only;experiment_only;unknown,\SF_OBJECTIVE_SIMULATION,\Swhite/gray/black-boxの度合いと構造専用solverの可否を分ける。,\S,\S数式化できないことと微分不能は別。simulation内部がsmoothでもderivative unavailableの場合がある。,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ03,\I3,\S,\S問題は線形、二次、最小二乗、一般非線形、複数目的のどれに近いですか？,\SWhich objective structure is closest?,\S問題は線形、二次、最小二乗、一般非線形、複数目的のどれに近いですか？,\Ssingle_choice,\Slinear;quadratic;sum_of_squares;general_nonlinear;multiobjective;equation_or_feasibility;unknown,\SF_OBJECTIVE_FORM,\S特殊構造を使う専用法は汎用NLPより保証・速度・診断で有利。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ04,\I4,\S,\S制約はありますか。どの種類ですか？,\SWhat constraints are present?,\S制約はありますか。どの種類ですか？,\Smulti_choice,\Snone;bounds;linear;nonlinear;logical_or_combinatorial;conic_or_psd;dynamics_or_manifold;implicit_or_failure,\SF_CONSTRAINT_CLASS,\Snative制約対応、可行点維持、penalty/射影の選択が変わる。,\S,\S初期可行点、射影費、constraint evaluation noise/失敗も追加確認。,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ05,\I5,\S,\S勾配・Jacobian・自動微分を信頼して利用できますか？,\SWhat derivative information is reliably available?,\S勾配・Jacobian・自動微分を信頼して利用できますか？,\Smulti_choice,\Sanalytic_gradient;autodiff;jacobian_or_hvp;numerical_difference_only;stochastic_gradient;unreliable_or_none;not_differentiable,\SF_DERIVATIVE_ACCESS,\S微分の存在、提供可否、数値微分の実用性を分離する。,\S,\Sfinite differenceはO(n)評価、centralは概ねO(2n)、sparsity/coloringやcomplex stepの可否を確認。,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ06,\I6,\S,\S目的・制約を1回評価する費用はどの程度ですか？,\SHow expensive is one evaluation?,\S目的・制約を1回評価する費用はどの程度ですか？,\Ssingle_choice,\Smilliseconds_or_less;seconds;minutes;hours_or_more;unknown,\SF_EVALUATION_COST,\S反復回数ではなく総評価費で手法を比較する。,\S,\Sgradient/Jacobian/Hessian、失敗再試行、parallel workerを含むwall-clockを見積もる。,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ07,\I7,\S,\S評価にnoise、乱数、timeout、NaN、失敗がありますか？,\SAre evaluations noisy or failure-prone?,\S評価にnoise、乱数、timeout、NaN、失敗がありますか？,\Smulti_choice,\Sdeterministic_reliable;small_noise;large_noise;random_seeded;occasional_failure;frequent_failure;timeout_possible;unknown,\SF_EVALUATION_RELIABILITY,\Sline search、finite difference、surrogate、constraint処理の信頼性が変わる。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ08,\I8,\S,\S変数の数と疎性・block構造はどの程度ですか？,\SWhat are the dimension and structure?,\S変数の数と疎性・block構造はどの程度ですか？,\Ssingle_choice,\Sunder_10;10_to_100;100_to_10000;over_10000;huge_sparse_or_distributed;unknown,\SF_DIMENSION_CONTEXT,\S低/高次元は固定閾値でなく評価費・derivative・疎性との関係で判断する。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ09,\I9,\S,\S局所的に良い解で十分ですか、それとも複数basinを探索すべきですか？,\SIs a local solution sufficient?,\S局所的に良い解で十分ですか、それとも複数basinを探索すべきですか？,\Ssingle_choice,\Slocal_is_fine;global_candidate_desired;multiple_distinct_solutions;unknown,\SF_SOLUTION_GOAL,\S局所法と大域探索は評価費・保証・初期値依存のtrade-off。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ10,\I10,\S,\S大域最適性の証明、gap、上下界が必要ですか？,\SIs a certificate or optimality gap required?,\S大域最適性の証明、gap、上下界が必要ですか？,\Ssingle_choice,\Sno_certificate_needed;gap_desired;global_proof_required;feasible_solution_first;approximation_guarantee;unknown,\SF_GUARANTEE_GLOBAL_CERTIFICATE,\Sheuristicの良い解と数学的証明を混同しない。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ11,\I11,\S,\S最小二乗、graph、scheduling、錐、dynamic control、多様体などの特殊構造がありますか？,\SIs there exploitable special structure?,\S最小二乗、graph、scheduling、錐、dynamic control、多様体などの特殊構造がありますか？,\Smulti_choice,\Snone_known;least_squares;lp_qp_conic;graph_flow_path_matching;scheduling_routing;prox_separable;optimal_control;manifold;stochastic_or_robust;other,\SF_STRUCTURE_LEAST_SQUARES,\S汎用最適化の前に専用法・還元を確認する。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
\SQ12,\I12,\S,\S同種問題を繰り返し解きますか。並列・GPU・warm startを使えますか？,"\SWill similar problems be solved repeatedly, and what compute is available?",\S同種問題を繰り返し解きますか。並列・GPU・warm startを使えますか？,\Smulti_choice,\Sone_off;repeated_similar;online_or_realtime;parallel_evaluations;distributed;gpu_available;warm_start_available,\SF_REPEATED_SOLVE,\Sfactorization再利用、warm start、batch/async評価、real-time deadlineが実装選択を変える。,\S,\S,\Syes,\SS054;S055;S056,\Shigh,\S2026-07-13
