method_id,name_ja,name_en,aliases,method_family_id,method_level,summary,problem_classes,required_assumptions,derivative_information,variable_types,constraint_support,convex_fit,nonconvex_applicability,solution_scope,determinism,exactness,theoretical_guarantee,optimality_certificate,scalability,memory_tendency,per_iteration_cost,evaluation_pattern,parallelism,initialization_sensitivity,hyperparameter_sensitivity,scaling_sensitivity,noise_robustness,discontinuity_robustness,constraint_violation_handling,warm_start,online_use,strengths,weaknesses,typical_failures,avoid_conditions,first_choice_conditions,second_choice_conditions,switch_signals,beginner_level,tuning_difficulty,implementation_difficulty,explainability,stopping_criteria,diagnostic_metrics,related_method_ids,parent_method_id,child_method_ids,reference_source_ids,confidence,last_verified
\SMF_COMPOSITE_CONVEX,\S凸・複合・近接最適化,\SConvex composite and proximal optimization,\S,\SMF_COMPOSITE_CONVEX,\Sfamily,\S滑らかな項と非滑らかな正則化・制約の分離構造、近接作用素、射影、分解を利用する手法群。,\Sconvex;composite;nonsmooth;sparse;distributed,\S凸性または適切な単調性。近接作用素・射影・分解が計算可能。,\Sgradient_of_smooth_part;prox_or_subgradient,\Scontinuous;structured,\Ssimple_sets;separable_constraints;consensus,\Sprimary,\Sconditional_without_global_guarantee,\Sconvex_global,\Sdeterministic,\Slocal_numerical,\S凸性・Lipschitz性等の下で目的gapや残差の収束率。,\Sprimal_dual_gap;fixed_point_residual,\Shigh_to_very_high,\Slow_to_medium,\S勾配・prox・射影・分離部分問題。,\S多反復だが各反復は比較的安価。,\Shigh_for_separable_or_distributed,\Slow_convex,\Smedium,\Shigh,\Smedium_by_variant,\Snonsmooth_yes_discontinuous_no,\Sprojection;prox;dual_variables,\Syes,\Syes_by_variant,\S非滑らか正則化;巨大・疎・分散構造;単純反復,\S多数反復;step size/penalty調整;proxが難しい場合は不向き,\Sstep_size_too_large;admm_residual_imbalance;slow_subgradient,\S非凸で証明必須;prox/射影が高価;離散変数,\S凸複合構造と安価なprox/射影がある。,\S汎用NLPが規模・非滑らかさで苦戦。,\S残差の一方だけ停滞;反復回数過大;proxが支配的。,\Smedium,\Smedium,\Smedium,\Shigh,\Sprimal_dual_residual;objective_gap;fixed_point_residual;budget,\Sprimal_residual;dual_residual;step_size;prox_time,\S,\N,\SM_PROX_GRADIENT;M_FISTA;M_COORDINATE_DESCENT;M_ADMM;M_MIRROR_DESCENT;M_SUBGRADIENT;M_BUNDLE,\SS055;S061;S066;S067,\Shigh,\S2026-07-13
\SMF_CONSTRAINED_NLP,\S制約付き非線形計画,\SConstrained nonlinear programming,\S,\SMF_CONSTRAINED_NLP,\Sfamily,\S等式・不等式・上下限を伴う滑らかな連続非線形問題をKKT条件、SQP、内点法等で解く手法群。,\Scontinuous_nlp;constraints,\S制約・目的が滑らか。適切な制約資格条件と数値スケーリング。,\Sgradient;jacobian;optional_hessian_or_hvp,\Scontinuous,\Sbounds;linear;nonlinear,\Sstrong,\Syes_local_only,\Slocal,\Sdeterministic,\Slocal_numerical,\S正則性と二階条件等の下でKKT点への収束。凸問題では大域最適性。,\SKKT_residual;primal_dual_residual,\Smedium_to_high_with_sparsity,\Smedium_to_high,\SKKT系またはQP部分問題の解法。,\S目的・勾配・制約・Jacobianを反復評価。,\Ssparse_linear_algebra,\Smedium_to_high_nonconvex,\Smedium,\Svery_high,\Slow,\Slow,\Sfilter;merit;barrier;penalty_by_variant,\Simplementation_dependent,\Sconditional,\S一般制約を直接扱う;KKT診断;疎性利用,\S微分とスケーリングに敏感;非凸では局所解;可行性が難しいと停滞,\Sinfeasible_start;constraint_qualification_failure;bad_jacobian;poor_scaling,\S離散変数;不連続制約;強いノイズ,\S滑らかな一般制約NLPで、正確なJacobianがある。,\S微分不要法では評価回数が多すぎる。,\SKKT残差停滞;制約違反が減らない;正則化反復が増大。,\Smedium,\Shigh,\Shigh,\Shigh,\SKKT_residual;primal_feasibility;dual_feasibility;complementarity;budget,\Sconstraint_violation;stationarity;complementarity;factorization_status,\S,\N,\SM_SQP;M_SLSQP;M_INTERIOR_POINT_NLP;M_AUGMENTED_LAGRANGIAN;M_PROJECTED_GRADIENT;M_ACTIVE_SET,\SS017;S029;S030;S056;S064,\Shigh,\S2026-07-13
\SMF_CONSTRAINT_PROGRAMMING,\S制約programming・SAT,\SConstraint programming and SAT,\S,\SMF_CONSTRAINT_PROGRAMMING,\Sfamily,\Sdomain propagation、learning、searchを用いて論理・組合せ制約の可行性と最適化を扱う手法群。,\Sscheduling;logical;SAT;finite_domain,\S有限domainと強い制約表現。整数化・時間離散化の意味が妥当。,\Snone,\Sbinary;integer;finite_domain,\Slogical;global_constraints;linear_integer,\Snot_applicable,\Snative_discrete,\Sglobal_certificate,\Simplementation_dependent,\Sexact_with_tolerance,\S有限探索完了時にSAT/UNSATまたは最適性証明。,\Sbound_or_unsat_proof_implementation_dependent,\Shighly_instance_dependent,\Smedium_to_high,\Spropagation + conflict analysis + branching。,\Snode/conflict count。,\Simplementation_dependent,\Slow,\Smedium,\Sinteger_coefficient_scaling,\Snot_applicable,\Snative_discrete,\Sonly_feasible_assignments_or_propagated_partial_assignments,\Simplementation_dependent,\Sconditional,\S論理・scheduling global constraints;可行性探索;証明,\S弱いpropagationで爆発;実数・滑らか構造の利用は弱い,\Sweak_propagation;symmetry;large_domains;integer_scaling,\S本質的に連続滑らか;実数精度を整数scaleで表せない,\S論理・resource・scheduling制約が中心。,\SMILP定式化の緩和が弱い。,\Sconflict/node増大;domainが縮まらない;整数scaleが過大。,\Smedium,\Smedium,\Smedium,\Shigh,\Soptimality_gap;time;conflicts;solutions,\Sconflicts;branches;propagations;best_bound;feasible_solutions,\S,\N,\SM_CP_SEARCH;M_CP_SAT;M_CDCL_SAT,\SS022;S053,\Shigh,\S2026-07-13
\SMF_DFO_LOCAL,\S局所微分不要最適化,\SLocal derivative-free optimization,\S,\SMF_DFO_LOCAL,\Sfamily,\S関数値または補間モデルだけを用いて局所解を探す直接探索・モデルベース手法群。,\Scontinuous;black_box;local,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\Sfunction_values_only,\Scontinuous;bounds_by_variant,\Sbounds;general_constraints_by_variant,\Sviable,\Syes_local_only,\Slocal,\Simplementation_dependent,\Sheuristic,\SMADS等は仮定下でstationarity保証。単体法などは一般保証が限定的。,\Susually_none;mesh_or_model_stationarity,\Slow_to_medium,\Slow_to_medium,\S複数の関数評価と幾何更新。,\S次元に応じて多数評価。数値微分より頑健な場合がある。,\Slimited_to_moderate,\Shigh,\Smedium,\Shigh,\Slow_to_medium,\Smedium_by_direct_search,\Sfilter;progressive_barrier;penalty;geometry_by_variant,\Syes,\Srare,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\Ssimplex_degeneracy;mesh_stagnation;poor_scaling;noise_floor,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S低〜中次元、評価が比較的安価、微分が信用できない。,\S数値微分型勾配法が不安定。,\S幾何が退化;評価改善なし;次元に比べ予算不足。,\Smedium,\Smedium,\Smedium,\Smedium,\Smesh_size;trust_region_radius;step_size;objective_change;budget,\Sevaluation_count;simplex_geometry;mesh_size;constraint_violation,\S,\N,\SM_NELDER_MEAD;M_POWELL;M_PATTERN_SEARCH;M_MADS;M_COBYLA;M_COBYQA;M_SPSA,\SS002;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SMF_DISCRETE_EXACT,\S離散・混合整数の厳密探索,\SExact discrete and mixed-integer optimization,\S,\SMF_DISCRETE_EXACT,\Sfamily,\S緩和下界、分枝、cut、incumbentを用いてMILP/MIQP/MINLP等を探索し、gapで品質を示す手法群。,\SMILP;MIQP;MINLP;combinatorial,\S有限離散領域、妥当な定式化、solverが扱える連続緩和。,\Smodel_coefficients;NLP_derivatives_for_MINLP,\Sbinary;integer;mixed,\Slinear;quadratic;nonlinear_by_method,\Srelaxation_dependent,\Syes_by_spatial_methods,\Sglobal_certificate,\Simplementation_dependent,\Sexact_with_tolerance,\S探索完了時にincumbentとboundから最適性gapを証明。,\SMIP_gap;primal_bound;dual_bound,\Shighly_instance_dependent,\Shigh_tree_and_cuts,\S緩和問題 + cut + heuristic + branching。,\Snode数が指数的になり得る。,\Stree_parallelism,\Slow_to_medium_with_incumbent,\Smedium,\Shigh,\Slow_model_coefficients,\Snative_discrete,\Sfeasibility_tolerances;branching,\Syes_by_solver,\Sconditional,\Sgap/証明;論理・整数;強力presolve/cut,\S指数的;定式化品質(Big-M/対称性)依存;memory,\Sweak_relaxation;bad_big_M;symmetry;no_incumbent;tree_explosion,\Snoiseを含むblack-box;曖昧なlogic;巨大Big-M,\S整数・binaryと線形/対応非線形model、証明またはgapが必要。,\SCP/graph/DPの専用構造が弱い。,\Sroot gapが大;node増加;可行解なし;memory逼迫。,\Smedium,\Shigh,\Smedium,\Shigh,\Soptimality_gap;time;node_limit;solution_limit,\Sincumbent;best_bound;gap;nodes;root_relaxation;cut_counts,\S,\N,\SM_BRANCH_BOUND;M_BRANCH_CUT;M_OUTER_APPROX_MINLP;M_SPATIAL_BRANCH_BOUND,\SS005;S016;S021;S024;S025;S028,\Shigh,\S2026-07-13
\SMF_EVOLUTIONARY,\S進化計算・population探索,\SEvolutionary and population-based optimization,\S,\SMF_EVOLUTIONARY,\Sfamily,\S個体群を選択・変異・交叉・共分散適応等で更新する確率的大域探索手法群。,\Sblack_box;nonconvex;multimodal;mixed_by_encoding,\S評価予算と妥当な変数表現・境界・乱数管理。,\Sfunction_values_only,\Scontinuous;integer;categorical_by_variant,\Sbounds;penalty;repair;feasibility_rules,\Susually_unnecessary,\Sprimary,\Sglobal_candidate,\Sstochastic,\Smetaheuristic,\S通常は有限予算の大域最適性証明なし。,\Snone,\Slow_to_medium,\Smedium_to_high_population,\Spopulation_size × evaluation cost。,\S大量の並列評価に適する。,\Shigh,\Smedium,\Smedium_to_high,\Shigh,\Smedium,\Shigh,\Spenalty;repair;feasibility_ranking,\Sconditional,\Srare,\S微分不要;不連続・多峰性;並列性;柔軟な表現,\S大量評価;証明なし;parameter・encoding依存,\Spremature_convergence;diversity_loss;constraint_penalty_failure,\S評価が極端に高価で低予算;厳密証明;高次元で構造利用可能,\S評価並列化可能で、不連続・多峰性・微分不能。,\S局所DFOが初期値依存。,\S多様性崩壊;改善停滞;可行個体が生成されない。,\Smedium,\Shigh,\Smedium,\Slow,\Sevaluation_budget;time;stall;diversity,\Sbest_so_far;population_diversity;feasible_fraction;seed_variance,\S,\N,\SM_CMA_ES;M_GENETIC_ALGORITHM;M_PARTICLE_SWARM,\SS032;S033;S040;S058;S074,\Shigh,\S2026-07-13
\SMF_GLOBAL_SEARCH,\S大域探索・multi-start,\SGlobal search and multi-start,\S,\SMF_GLOBAL_SEARCH,\Sfamily,\S多start、領域分割、確率的遷移等により複数basinを探索し、大域的に良い候補を探す手法群。,\Sbounded_nonconvex;multimodal;black_box,\S有限探索領域と十分な評価予算。証明型では追加構造。,\Sfunction_values;optional_local_derivatives,\Scontinuous;bounds,\Sbounds;limited_general_constraints,\Susually_unnecessary,\Sprimary,\Sglobal_candidate,\Shybrid,\Sheuristic,\S確率的漸近保証または限定条件下の決定論的保証。有限予算の証明は通常ない。,\Susually_none;method_specific,\Slow_to_medium,\Smedium,\S複数候補・局所探索・領域分割。,\S局所法より大幅に多い評価。,\Shigh_for_multistart_or_population,\Slower_than_single_start,\Smedium,\Shigh,\Smedium_by_variant,\Smedium,\Spenalty;feasibility_rules;local_solver,\Sconditional,\Srare,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\Sbudget_exhaustion;premature_convergence;missed_basins,\S高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ,\S低次元で大域候補が必要、評価予算がある。,\S複数start局所法で解が不安定。,\S評価予算消費に対しincumbent改善が小さい;多様性消失。,\Smedium,\Smedium,\Smedium,\Smedium,\Sevaluation_budget;time_budget;global_gap_if_available;stall,\Sbest_so_far;diversity;coverage;local_refinement_success,\S,\N,\SM_MULTISTART;M_BASIN_HOPPING;M_SHGO;M_DIRECT;M_DIFFERENTIAL_EVOLUTION;M_SIMULATED_ANNEALING,\SS006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SMF_GRAPH_DP,\Sgraph専用法・動的計画法,\SGraph algorithms and dynamic programming,\S,\SMF_GRAPH_DP,\Sfamily,\S最短路、flow、matching、段階構造などの特殊構造を利用する専用アルゴリズム群。,\Sgraph;network;sequential_decision;small_state_space,\S最適部分構造、network構造、または対応するgraph表現。,\Snone,\Sgraph;discrete;state_action,\Sstructure_specific,\Snot_applicable_or_integral_polytope,\Sstructure_specific,\Sglobal_certificate,\Sdeterministic,\Sexact_with_tolerance,\S対応構造では多項式時間または擬多項式時間の厳密解。,\Salgorithm_specific,\Svery_high_when_structure_matches,\Slow_to_high_state_space,\Sedge/vertex/state transitions。,\Sblack-box評価ではなく構造を走査。,\Smethod_specific,\Slow,\Slow,\Slow_to_medium,\Snot_applicable,\Snative_discrete,\Sstructure_specific,\Sconditional,\Syes_by_dynamic_variant,\S汎用最適化より速く強い保証;解釈しやすい,\S構造が崩れると適用不能;state explosion,\Sstate_explosion;negative_cycle_or_invalid_assumption;structure_mismatch,\S追加制約が専用構造を破壊;状態次元が巨大,\S既知のflow/path/matching/DP構造。,\SMILP化前に専用法を確認。,\S状態数爆発;side constraintsが多数;memory超過。,\Slow_to_medium,\Slow,\Smedium,\Shigh,\Salgorithm_completion;budget_for_approximate_variants,\Sstates;edges;labels;memory;optimality_condition,\S,\N,\SM_DYNAMIC_PROGRAMMING;M_NETWORK_SIMPLEX;M_HUNGARIAN;M_DIJKSTRA_ASTAR;M_LOCAL_SEARCH_COMBINATORIAL,\SS054,\Shigh,\S2026-07-13
\SMF_LP_QP_CONIC,\S線形・二次・錐最適化,"\SLinear, quadratic, and conic optimization",\S,\SMF_LP_QP_CONIC,\Sfamily,\SLP、凸QP、SOCP、SDP等の凸構造を利用し、simplex、barrier、operator splitting等で解く手法群。,\SLP;convex_QP;conic;SDP,\S問題が対応する標準形に表現され、凸性・cone条件が満たされる。,\Sexplicit_coefficients,\Scontinuous;cone_variables,\Slinear;quadratic_conic;semidefinite_by_solver,\Sprimary,\Susually_no_except_solver_extensions,\Sconvex_global,\Sdeterministic,\Sexact_with_tolerance,\S可行性・強双対性等の条件下で大域解とprimal-dual証明量。,\Sprimal_dual_residual;duality_gap;infeasibility_certificate_by_method,\Shigh_to_huge_sparse,\Smedium_to_high,\Sbasis update、KKT factorization、またはsparse matrix-vector積。,\Sblack-box評価ではなく係数行列を直接利用。,\Slinear_algebra_or_first_order,\Slow,\Slow_to_medium,\Shigh,\Snot_applicable_input_data_sensitivity,\Snot_applicable,\Sprimal_dual_algorithm,\Simplementation_dependent,\Syes_for_parametric_by_solver,\S大域性;gap/dual;疎性;成熟solver,\S形式に入らない非線形・非凸には不適;数値スケール・退化,\Sinfeasible_or_unbounded;degeneracy;poor_scaling;factorization_memory,\Sblack-box;一般非凸を凸として誤分類;係数が不正確,\SLP/QP/錐構造が明示できる。,\S一般NLPへ落とす前に構造変換可能。,\Spresolveでinfeasible;数値warning;gap停滞;memory超過。,\Slow_to_medium,\Slow_to_medium,\Smedium,\Shigh,\Sprimal_dual_feasibility;duality_gap;time;node_or_iteration_limit,\Sprimal_residual;dual_residual;gap;condition;presolve_reductions,\S,\N,\SM_SIMPLEX;M_DUAL_SIMPLEX;M_BARRIER_LP_QP;M_PDLP;M_ACTIVE_SET_QP;M_ADMM_QP;M_PRIMAL_DUAL_CONIC,\SS004;S010;S012;S013;S014;S016;S055;S062,\Shigh,\S2026-07-13
\SMF_MANIFOLD,\SRiemann多様体最適化,\SRiemannian manifold optimization,\S,\SMF_MANIFOLD,\Sfamily,\S球面、Stiefel、Grassmann、SO(3)等の幾何をretraction・Riemann勾配として利用する手法群。,\Smanifold;matrix_factorization;rotations,\S変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,\SRiemannian_gradient;Hessian_or_HVP_optional,\Smanifold;matrix;Lie_group,\Smanifold_intrinsic;additional_constraints_limited,\Sgeodesic_convex_by_problem,\Syes_local_only,\Slocal,\Sdeterministic,\Slocal_numerical,\S標準仮定下でRiemannian stationary pointへの収束。,\SRiemannian_gradient_norm,\Smedium_to_high_by_structure,\Smedium,\S接空間演算、retraction、線形代数。,\S目的・Riemann gradient・必要に応じHessian。,\Slinear_algebra_parallelism,\Shigh_nonconvex,\Smedium,\Smedium_to_high,\Slow,\Slow,\Sintrinsic_feasibility_by_retraction,\Syes,\Sconditional,\S制約をintrinsicに維持;座標冗長性を減らす,\S幾何実装;chart singularity;追加制約,\Swrong_gradient_projection;retraction_error;coordinate_singularity;poor_initialization,\S多様体構造が不要;不連続;離散変数,\SSO(3)、球面、Stiefel等が本質で常時可行性が必要。,\SEuclidean parameterizationでsingularityや制約違反。,\SRiemann gradient検査不一致;retraction後誤差;chart依存。,\Sexpert,\Shigh,\Sexpert,\Shigh,\SRiemannian_gradient_norm;step_norm;cost_change;budget,\SRiemannian_gradient_norm;retraction_error;orthogonality_error,\S,\N,\SM_RIEMANNIAN_GRADIENT;M_RIEMANNIAN_TRUST_REGION,\SS044;S045;S071,\Shigh,\S2026-07-13
