failure_mode_id,name_ja,name_en,category,applies_to_method_ids,applies_to_problem_ids,symptoms,root_causes,diagnostic_ids,severity,impact,prevention,remediation,switch_condition,source_ids,confidence,last_verified
\SFM001,\Sgradient実装誤り,\SIncorrect gradient,\Sderivative,\SM_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,\S,\Sgradient check不一致、line search失敗,\Schain rule、index、sign、batch aggregation誤り,\SD001,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sdirectional checkとunit test,\Sderivative修正、AD比較,\S修正不能ならDFOへ,\SS002;S056,\Shigh,\S2026-07-13
\SFM002,\S数値微分step不適切,\SBad finite-difference step,\Sderivative,\SM_BFGS;M_LBFGSB;M_SLSQP,\S,\S勾配がstepで大きく変動,\Struncation/roundoff/scale不一致,\SD005,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sstep sweep、scale,\Scomplex-step/AD/scale-aware差分,\S安定領域なしならDFO,\SS002;S056,\Shigh,\S2026-07-13
\SFM003,\Snoiseが微分を支配,\SNoise-dominated derivative,\Snoise,\SM_NEWTON;M_BFGS;M_SLSQP,\S,\Sgradient符号がreplicateで変わる,\S評価noiseが差分/改善より大きい,\SD006,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sreplication/CRN,\Ssample average、SPSA、noise-aware method,\S必要評価数がbudget超ならBO/DFO,\SS059,\Shigh,\S2026-07-13
\SFM004,\SNaN/Inf評価,\SNon-finite evaluation,\Sevaluation,\Sall,\S,\Ssolver例外、step rejection、model破損,\Sdomain error、overflow、inner failure,\SD027,\Scritical,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Ssafe domain tests,\Sguard、stable formula、failure status,\S頻発なら可行性model/MADS,\SS002;S031,\Shigh,\S2026-07-13
\SFM005,\S評価失敗を巨大penaltyだけで隠す,\SMasked evaluation failures,\Sevaluation,\SM_BAYESIAN_OPT_GP;M_CMA_ES;M_MADS,\S,\S境界に不自然なcliff,\S失敗原因をobjective値へ潰した,\SD025,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sfailure code保存,\Sfeasibility classifier/progressive barrier,\S可行率低ならphase-I,\SS031;S035,\Shigh,\S2026-07-13
\SFM006,\Stimeout bias,\STimeout bias,\Sevaluation,\SM_TPE;M_SMAC_RF;M_BAYESIAN_OPT_GP,\S,\S遅いtrialが一律悪評価,\Scensored observationの誤処理,\SD026,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scutoff policy,\Scensor-aware model/resource scheduler,\Stimeout率高ならsearch space縮小,\SS037;S038,\Shigh,\S2026-07-13
\SFM007,\S変数scale不良,\SPoor variable scaling,\Snumerical,\SM_BFGS;M_SLSQP;M_COBYLA;M_CMA_ES,\S,\Sstepが一部変数だけ動く,\Sunit/桁差,\SD007,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Snondimensionalization,\S変数変換/solver scaling,\S改善しなければpreconditioned/HVP法,\SS056,\Shigh,\S2026-07-13
\SFM008,\S目的項のweight不良,\SPoor objective weighting,\Snumerical,\Sall,\S,\S一項だけ改善し他が無視,\S単位・penalty・regularization不整合,\SD036,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Sterm magnitude/gradient監査,\Snormalize、weight sensitivity,\Strade-offならmultiobjectiveへ,\SS055;S056,\Shigh,\S2026-07-13
\SFM009,\S悪条件,\SIll conditioning,\Snumerical,\SM_NEWTON;M_GAUSS_NEWTON;M_INTERIOR_POINT_NLP,\S,\S極端に遅い、方向不安定,\SHessian/Jacobian/KKTの条件数大,\SD008,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\Scondition estimate,\Sscaling、regularization、preconditioner,\Sfirst-order/prox/reparameterize,\SS056,\Shigh,\S2026-07-13
\SFM010,\Srank落ち・非識別,\SRank deficiency/non-identifiability,\Snumerical,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,\S,\Smultiple solutions、covariance巨大,\SJacobian column dependence,\SD009,\Shigh,\S解の品質・可行性・保証・計算費・再現性のいずれかを損なう。,\SSVD/rank,\Sregularize、fix parameters、new data,\S不確実性が目的ならBayes/stat inference,\SS003;S041,\Shigh,\S2026-07-13
