method_implementation_map_id,method_id,implementation_id,support_level,api_name,method_selector,implementation_notes,limitations,source_ids,confidence,last_verified
\SMIM00001,\SM_BFGS,\SI_SCIPY_BFGS,\Snative,\Sscipy.optimize.minimize,\SBFGS,\SAPIが受け付けることと実務適合性を区別する。methodごとに制約・微分・statusが異なる。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00002,\SM_LBFGSB,\SI_SCIPY_LBFGSB,\Snative,\Sscipy.optimize.minimize,\SL-BFGS-B,\S高次元bounds付きの有力候補。変数scale、finite-difference step、projected gradientを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S065,\Shigh,\S2026-07-13
\SMIM00003,\SM_INTERIOR_POINT_NLP,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00004,\SM_TRUST_KRYLOV,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00005,\SM_SQP,\SI_SCIPY_TRUST_CONSTR,\Snative,\Sscipy.optimize.minimize,\Strust-constr,\S非線形制約でJacobian/Hessian/HVP・sparse構造を指定可能。微分整合性とconstraint scalingが重要。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00006,\SM_SLSQP,\SI_SCIPY_SLSQP,\Snative,\Sscipy.optimize.minimize,\SSLSQP,\S中小規模の便利な候補だが、status成功だけでなく最終constraint violationを再計算する。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S064,\Shigh,\S2026-07-13
\SMIM00007,\SM_NELDER_MEAD,\SI_SCIPY_NELDER_MEAD,\Snative,\Sscipy.optimize.minimize,\SNelder-Mead,\S低次元・安価評価向け。boundsは厳密な制約最適化と同等ではなく、単体退化とscaleに注意。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002;S063,\Shigh,\S2026-07-13
\SMIM00008,\SM_POWELL,\SI_SCIPY_POWELL,\Snative,\Sscipy.optimize.minimize,\SPowell,\S,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00009,\SM_COBYLA,\SI_SCIPY_COBYLA,\Snative,\Sscipy.optimize.minimize,\SCOBYLA,\Sequalitiesは通常二つのinequality等へ変換が必要。constraint toleranceと最終可行性を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00010,\SM_COBYQA,\SI_SCIPY_COBYQA,\Snative,\Sscipy.optimize.minimize,\SCOBYQA,\Squadratic interpolation geometryと評価予算に注意。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS001;S002,\Shigh,\S2026-07-13
\SMIM00013,\SM_LEVENBERG_MARQUARDT,\SI_SCIPY_LEAST_SQUARES_LM,\Snative,\Sscipy.optimize.least_squares,\Slm,\Sbounds非対応。残差数・変数数、rank deficiency、Jacobian品質を確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS003,\Shigh,\S2026-07-13
\SMIM00014,\SM_SIMPLEX,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
\SMIM00015,\SM_DUAL_SIMPLEX,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
\SMIM00016,\SM_BARRIER_LP_QP,\SI_SCIPY_LINPROG_HIGHS,\Snative,\Sscipy.optimize.linprog,\Shighs;highs-ds;highs-ipm,\SLPは一般minimizeでなくlinprog/HiGHSを優先。marginals・status・residualを確認。,\S機能・status・optionはversionとbackendで確認。実装対応は一般的推奨を意味しない。,\SS004;S016,\Shigh,\S2026-07-13
