case_feature_map_id,case_id,feature_id,feature_value_id,value_text,truth_status,notes,source_ids,confidence,last_verified
\SCFM00001,\SEC001,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00002,\SEC001,\SF_OBJECTIVE_FORM,\SFV0015,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00003,\SEC001,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00004,\SEC001,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00005,\SEC001,\SF_DERIVATIVE_ACCESS,\SFV0030,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00006,\SEC001,\SF_CONSTRAINT_CLASS,\SFV0041,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00007,\SEC001,\SF_DIMENSION_CONTEXT,\SFV0054,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00008,\SEC001,\SF_EVALUATION_COST,\SFV0059,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00009,\SEC001,\SF_NOISE_LEVEL,\SFV0063,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00010,\SEC001,\SF_SOLUTION_GOAL,\SFV0068,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS002;S056,\Smedium,\S2026-07-13
\SCFM00011,\SEC002,\SF_VARIABLE_DOMAIN,\SFV0001,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00012,\SEC002,\SF_OBJECTIVE_FORM,\SFV0015,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00013,\SEC002,\SF_CONVEXITY,\SFV0022,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
\SCFM00014,\SEC002,\SF_SMOOTHNESS,\SFV0024,\S,\Syes,\SInherited from representative archetype; concrete instance summary takes precedence.,\SS019;S046;S056,\Smedium,\S2026-07-13
