fit_id,problem_or_feature_id,target_type,method_id,fit_level,beginner_priority,applicable_conditions,required_conditions,favorable_conditions,unfavorable_conditions,exclusion_conditions,expected_strengths,expected_weaknesses,evaluation_budget_notes,dimensionality_notes,noise_notes,constraint_notes,initialization_notes,guarantee_notes,tuning_notes,rationale,evidence_source_ids,confidence,last_verified
\SPMF00001,\SPA001,\Sproblem,\SM_NEWTON,\Sconditional,\Sexpert_guidance_recommended,\S滑らかで信頼できる勾配があり、局所解でよい。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S閉形式解候補の主要特徴（general_nonlinear、unconstrained、analytic_gradient、cheap）に対し、Newton法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_CLOSED_FORM;ALT_SYMBOLIC を確認する。,\SS055;S056;S002;S057,\Smedium,\S2026-07-13
\SPMF00002,\SPA001,\Sproblem,\SM_BFGS,\Sviable,\Sexpert_guidance_recommended,\S滑らかな中小規模無制約問題で勾配が信頼できる。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S閉形式解候補の主要特徴（general_nonlinear、unconstrained、analytic_gradient、cheap）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_CLOSED_FORM;ALT_SYMBOLIC を確認する。,\SS055;S056;S002;S057,\Shigh,\S2026-07-13
\SPMF00003,\SPA001,\Sproblem,\SM_GRADIENT_DESCENT,\Sconditional,\Sexpert_guidance_recommended,\S数値微分が安価か、自動微分を追加できる。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S閉形式解候補の主要特徴（general_nonlinear、unconstrained、analytic_gradient、cheap）に対し、最急降下法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_CLOSED_FORM;ALT_SYMBOLIC を確認する。,\SS055;S056;S002;S057,\Smedium,\S2026-07-13
\SPMF00004,\SPA001,\Sproblem,\SM_NELDER_MEAD,\Slast_resort,\Savoid_as_default,\S数値微分型勾配法が不安定。,\S評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,\S微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種,\S高次元で評価数が急増;局所解;停止判定が弱い,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は mesh_size;trust_region_radius;step_size;objective_change;budget。,\S閉形式解候補の主要特徴（general_nonlinear、unconstrained、analytic_gradient、cheap）に対し、Nelder–Mead単体法は微分不要;分岐・軽い非滑らかさに対応;実装しやすい変種。ただし高次元で評価数が急増;局所解;停止判定が弱い。 汎用最適化の前に ALT_CLOSED_FORM;ALT_SYMBOLIC を確認する。,\SS055;S056;S002;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SPMF00005,\SPA001,\Sproblem,\SM_RANDOM_SEARCH,\Sgenerally_unsuitable,\Savoid_as_default,\Srandom/evolutionary searchでは予算不足。,\S評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,\S実装単純;並列;model misspecificationなし,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S問題の主要構造・変数型・保証要求と不整合。,\S実装単純;並列;model misspecificationなし,\S高次元・非定常・model misspecification;acquisition最適化;証明ではない,\S評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,\S固定閾値ではなく、評価費・疎性・derivative費との積で規模を判断。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=medium。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=low。停止条件は evaluation_budget;time;expected_improvement;confidence_or_stall。,\S閉形式解候補の主要特徴（general_nonlinear、unconstrained、analytic_gradient、cheap）に対し、random searchは実装単純;並列;model misspecificationなし。ただし高次元・非定常・model misspecification;acquisition最適化;証明ではない。 汎用最適化の前に ALT_CLOSED_FORM;ALT_SYMBOLIC を確認する。,\SS055;S056;S034;S035;S036;S037;S038;S059;S069;S075,\Smedium,\S2026-07-13
\SPMF00006,\SPA002,\Sproblem,\SM_NEWTON_CG,\Sconditional,\Sexpert_guidance_recommended,\S滑らかで信頼できる勾配があり、局所解でよい。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S線形方程式に還元の主要特徴（equation_residual、unconstrained、jacobian、cheap）に対し、Newton-CG法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_LINEAR_SYSTEM を確認する。,\SS054;S056;S002;S057,\Smedium,\S2026-07-13
\SPMF00007,\SPA002,\Sproblem,\SM_NEWTON,\Sviable,\Sexpert_guidance_recommended,\S滑らかで信頼できる勾配があり、局所解でよい。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=high。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S線形方程式に還元の主要特徴（equation_residual、unconstrained、jacobian、cheap）に対し、Newton法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_LINEAR_SYSTEM を確認する。,\SS054;S056;S002;S057,\Shigh,\S2026-07-13
\SPMF00008,\SPA002,\Sproblem,\SM_ADMM,\Sconditional,\Sexpert_guidance_recommended,\S汎用NLPが規模・非滑らかさで苦戦。,\S凸性または適切な単調性。近接作用素・射影・分解が計算可能。,\S非滑らか正則化;巨大・疎・分散構造;単純反復,\S多数反復;step size/penalty調整;proxが難しい場合は不向き,\S非凸で証明必須;prox/射影が高価;離散変数,\S非滑らか正則化;巨大・疎・分散構造;単純反復,\S多数反復;step size/penalty調整;proxが難しい場合は不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=low_convex。複数startまたはwarm startの必要性をproblem instanceで確認。,\Sモデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,\Stuning difficulty=high。停止条件は primal_dual_residual;objective_gap;fixed_point_residual;budget。,\S線形方程式に還元の主要特徴（equation_residual、unconstrained、jacobian、cheap）に対し、交互方向乗数法は非滑らか正則化;巨大・疎・分散構造;単純反復。ただし多数反復;step size/penalty調整;proxが難しい場合は不向き。 汎用最適化の前に ALT_LINEAR_SYSTEM を確認する。,\SS054;S056;S055;S061;S066;S067,\Smedium,\S2026-07-13
\SPMF00009,\SPA002,\Sproblem,\SM_BFGS,\Slast_resort,\Savoid_as_default,\S数値微分が安価か、自動微分を追加できる。,\S目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S不連続;評価ノイズが勾配を支配;離散変数,\S滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確,\S局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\Sdense Hessian/因子分解を避け、sparse/HVP/low-memory/block構造を利用。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=medium_nonconvex。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は gradient_norm;step_norm;objective_change;budget。,\S線形方程式に還元の主要特徴（equation_residual、unconstrained、jacobian、cheap）に対し、BFGS法は滑らかな問題で少ない評価回数;精度を上げやすい;停止診断が明確。ただし局所解;微分誤りとスケーリングに弱い;不連続・強いノイズに不向き。 汎用最適化の前に ALT_LINEAR_SYSTEM を確認する。,\SS054;S056;S002;S057,\Smedium,\S2026-07-13
\SPMF00010,\SPA002,\Sproblem,\SM_DIFFERENTIAL_EVOLUTION,\Sgenerally_unsuitable,\Savoid_as_default,\S複数start局所法で解が不安定。,\S有限探索領域と十分な評価予算。証明型では追加構造。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S問題の主要構造・変数型・保証要求と不整合。,\S多峰性;複数解候補;局所法の初期値依存を緩和,\S評価費大;証明が弱い;次元の呪い,\S目的・制約・微分の各評価回数と総wall-clockを分けて記録。,\S高次元では評価数・population・幾何維持が急増。低有効次元、block、random embedding等を検討。,\S決定論性をseed固定だけで断定せず、内部並列・停止条件を確認。,\S制約なし。暗黙のdomain failureやboundsが実質制約になっていないか確認。,\Sinitialization sensitivity=lower_than_single_start。複数startまたはwarm startの必要性をproblem instanceで確認。,\S要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,\Stuning difficulty=medium。停止条件は evaluation_budget;time_budget;global_gap_if_available;stall。,\S線形方程式に還元の主要特徴（equation_residual、unconstrained、jacobian、cheap）に対し、差分進化は多峰性;複数解候補;局所法の初期値依存を緩和。ただし評価費大;証明が弱い;次元の呪い。 汎用最適化の前に ALT_LINEAR_SYSTEM を確認する。,\SS054;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
