sheet_name,table_name,purpose,primary_key,foreign_keys,row_count,column_count,normalization_role,derived_or_base,update_frequency,notes
\S00_README,\Sreadme,\S利用範囲、設計原則、source policy、使い方、KPI dashboard。,\Ssection+item,\S,\I24,\I4,\Sdocumentation,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S01_problem_archetypes,\Sproblem_archetypes,\S代表的な問題class/アーキタイプ。,\Sproblem_id,\S,\I56,\I27,\Sentity,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S02_problem_features,\Sproblem_features,\S問題を記述する正規化feature定義。,\Sfeature_id,\S,\I211,\I14,\Sentity,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S03_feature_values,\Sfeature_values,\Senum featureの許容値。,\Sfeature_value_id,\Sfeature_id->02_problem_features.feature_id,\I93,\I12,\Slookup,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S04_methods,\Smethods,\S手法family・一般algorithm・具体変種。,\Smethod_id,\Smethod_family_id->04_methods.method_id;parent_method_id->04_methods.method_id,\I98,\I51,\Sentity,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S05_method_hierarchy,\Smethod_hierarchy,\S手法間の階層・派生関係。,\Shierarchy_id,\Sparent_method_id->04_methods.method_id;child_method_id->04_methods.method_id,\I82,\I10,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S06_implementations,\Simplementations,\Slibrary/solver/API実装情報。,\Simplementation_id,\S,\I64,\I45,\Sentity,\Sbase,\Squarterly_or_on_release,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S07_problem_feature_map,\Sproblem_feature_map,\Sproblemとfeature/valueのmany-to-many。,\Sproblem_feature_map_id,\Sproblem_id->01_problem_archetypes.problem_id;feature_id->02_problem_features.feature_id;feature_value_id->03_feature_values.feature_value_id,\I842,\I12,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S08_problem_method_fit,\Sproblem_method_fit,\S問題と手法の条件付き適合関係。,\Sfit_id,\Sproblem_or_feature_id->01_problem_archetypes.problem_id;method_id->04_methods.method_id,\I280,\I24,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S09_method_implementation_map,\Smethod_implementation_map,\S手法とsoftware実装の対応。,\Smethod_implementation_map_id,\Smethod_id->04_methods.method_id;implementation_id->06_implementations.implementation_id,\I163,\I11,\Sbridge,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S10_decision_questions,\Sdecision_questions,\S初心者向け12問の診断質問。,\Squestion_id,\Smapped_feature_id->02_problem_features.feature_id,\I12,\I16,\Sdecision,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S11_decision_rules,\Sdecision_rules,\S質問回答から候補/除外/警告を導く条件付きrule。,\Srule_id,\Squestion_id->10_decision_questions.question_id,\I78,\I15,\Sdecision,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S12_failure_modes,\Sfailure_modes,\S典型的な失敗patternと修復・切替。,\Sfailure_mode_id,\S,\I42,\I17,\Sdiagnostic,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S13_diagnostics,\Sdiagnostics,\S収束・可行性・保証・数値性の診断指標。,\Sdiagnostic_id,\S,\I42,\I16,\Sdiagnostic,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S14_example_cases,\Sexample_cases,\S28の具体的検証scenario。,\Scase_id,\Sproblem_id->01_problem_archetypes.problem_id;first_choice_method_id->04_methods.method_id;second_choice_method_id->04_methods.method_id;avoid_method_id->04_methods.method_id,\I28,\I18,\Svalidation,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S15_sources,\Ssources,\S公式資料・原著・教科書等のprovenance。,\Ssource_id,\S,\I95,\I11,\Sevidence,\Sbase,\Squarterly_or_on_release,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S16_glossary,\Sglossary,\S用語定義と混同しやすい境界。,\Sterm_id,\S,\I84,\I9,\Sdocumentation,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S17_beginner_view,\Sbeginner_view,\Sscenario別の第一/第二候補、注意、切替条件。,\Sview_id,\Scase_id->14_example_cases.case_id;first_method_id->04_methods.method_id;second_method_id->04_methods.method_id,\I28,\I15,\Sview,\Sderived,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S18_advanced_view,\Sadvanced_view,\S問題特徴×手法×fit×実装をflat表示する専門家view。,\Sproblem_id+method_id,\Sproblem_id->01_problem_archetypes.problem_id;method_id->04_methods.method_id,\I280,\I25,\Sview,\Sderived,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S19_backlog,\Sbacklog,\S調査不足・追加対象・maintenance計画。,\Sbacklog_id,\S,\I38,\I13,\Sgovernance,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
\S20_controlled_vocab,\Scontrolled_vocab,\Sfit/status/confidence等の統制語彙。,\Svocab_name+value_code,\S,\I129,\I7,\Slookup,\Sbase,\Sas_needed,\SSemicolon ID lists are convenience fields when a canonical bridge/evidence table exists.
