diagnostic_id,name_ja,name_en,category,metric_name,definition_or_formula,interpretation,warning_threshold,recommended_action,collection_cost,applicable_method_ids,applicable_problem_ids,related_failure_mode_ids,source_ids,confidence,last_verified
D001,勾配整合性,Gradient consistency,derivative,relative_gradient_error,"||g_reported-g_check|| / max(1,||g_reported||,||g_check||)",小さいほど良い。directional derivativeを複数方向で確認。,問題scaleに依存。目安を固定せずfinite-difference truncation/noise floorと比較。,微分実装・step・AD graphを修正。,moderate,M_BFGS;M_LBFGS;M_SQP;M_INTERIOR_POINT_NLP,,FM001,S002;S056,high,2026-07-13
D002,最大制約違反,Maximum constraint violation,constraint,max_constraint_violation,"max(max(0,g_i(x)), |h_j(x)|, bound_violation)",solver statusに関係なく元の式で再計算。,user toleranceを超える場合は実行不能。,constraint scale、式、solver tolerance、丸めを確認。,low,M_SQP;M_ACTIVE_SET;M_INTERIOR_POINT_NLP;M_SLSQP;M_COBYLA;M_CP_SAT;M_BRANCH_CUT,,FM011;FM015;FM031,S017;S056,high,2026-07-13
D003,KKT残差,KKT residual,optimality,kkt_residual,"max(stationarity, primal_feasibility, dual_feasibility, complementarity)",制約付き滑らか問題の局所最適性診断。,各成分を別表示し最大値だけで隠さない。,derivative、constraint qualification、scalingを確認。,moderate,M_SQP;M_INTERIOR_POINT_NLP,,FM012,S017;S055;S056,high,2026-07-13
D004,projected/Riemann勾配norm,Projected or Riemannian gradient norm,optimality,projected_gradient_norm,||x-P_C(x-g)|| or ||grad_R f||,制約/多様体に沿ったstationarity。,Euclidean gradient normだけでは誤判定。,適切なprojection/metric/retractionを確認。,moderate,M_GRADIENT_DESCENT;M_ADAM;M_BFGS,,FM018,S044;S055;S071,high,2026-07-13
D005,数値微分step感度,Finite-difference step sensitivity,derivative,finite_difference_step_sweep,variation of derivative estimate over log-spaced steps,U字型のtruncation/roundoff、noise plateauを見る。,step変更で符号・桁が変わる場合は不可信。,scale-aware step、complex step、AD、DFOへ。,moderate,M_BFGS;M_LBFGSB;M_SLSQP,,FM002,S002;S056,high,2026-07-13
D006,noise floor,Noise floor,noise,replicate_standard_error,std(f(x;seed))/sqrt(r) and paired-difference variance,期待改善や停止閾値とnoiseを比較。,改善量がnoiseと同程度以下ならdeterministic判定は不可信。,replication、CRN、smoothing、noise-aware method。,high,M_NEWTON;M_BFGS;M_SLSQP;all numerical,,FM003;FM024,S059,high,2026-07-13
D007,変数scale比,Variable scaling ratio,numerical,variable_scale_ratio,max(characteristic_scale_i)/min(characteristic_scale_i),桁差が大きいほどstep/conditioningへ影響。,固定閾値よりsolver warningとderivative感度を併用。,nondimensionalization、scaled variables、preconditioning。,low,M_BFGS;M_SLSQP;M_COBYLA;M_CMA_ES,,FM007,S056,high,2026-07-13
D008,条件数推定,Condition estimate,numerical,condition_estimate,"estimated cond(J), cond(H), or KKT system",大きいほど誤差増幅・線形solve困難。,推定対象とnormを記録。,scaling、regularization、preconditioner、reparameterization。,high,M_NEWTON;M_GAUSS_NEWTON;M_INTERIOR_POINT_NLP,,FM009,S056,high,2026-07-13
D009,rank/identifiability,Rank and identifiability,numerical,effective_rank,singular values above scale-aware threshold,小さいsingular valuesは非識別・flat directions。,thresholdはnoise/scale依存。,regularization、parameter固定、experiment redesign。,high,M_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT;M_INTERIOR_POINT_NLP;M_BRANCH_CUT,,FM010;FM013,S003;S041;S056,high,2026-07-13
D010,line-search統計,Line-search statistics,local_solver,line_search_rejections,"accepted step, backtracks, Wolfe/Armijo failures",backtrack増大はgradient/model/scale問題の兆候。,単発失敗より連続傾向を重視。,gradient check、scale、trust-regionへ切替。,low,M_BFGS;M_LBFGS;M_NLCG,,FM019,S002;S056,high,2026-07-13
