case_alternative_map_id,case_id,alternative_id,sequence,rationale,source_ids,confidence,last_verified
CAM0001,EC001,ALT_CLOSED_FORM,1,滑らかな低次元の制約なし連続最適化での事前確認: 反復誤差と初期値依存を避ける,S002;S056;S057;S003;S054;S055,high,2026-07-13
CAM0002,EC001,ALT_ROOT,2,滑らかな低次元の制約なし連続最適化での事前確認: スカラー目的化を避ける,S002;S056;S057;S003;S054;S055,high,2026-07-13
CAM0003,EC002,ALT_DECOMPOSITION,1,高次元だが勾配が利用可能での事前確認: memory/parallel性,S019;S046;S056;S002;S057;S065;S054;S055,high,2026-07-13
CAM0004,EC003,ALT_CLOSED_FORM,1,解析的勾配はないが数値微分が可能での事前確認: 反復誤差と初期値依存を避ける,S002;S056;S057;S018;S031;S060;S063;S054;S055,high,2026-07-13
CAM0005,EC004,ALT_SURROGATE,1,数値微分の評価コストが大きすぎるでの事前確認: 評価数削減,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0006,EC004,ALT_DECOMPOSITION,2,数値微分の評価コストが大きすぎるでの事前確認: memory/parallel性,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0007,EC005,ALT_STAT_INFERENCE,1,noiseを含むblack-box関数での事前確認: point optimumだけでなく不確実性,S032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,high,2026-07-13
CAM0008,EC005,ALT_SURROGATE,2,noiseを含むblack-box関数での事前確認: 評価数削減,S032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075;S054;S055;S056,high,2026-07-13
CAM0009,EC006,ALT_SURROGATE,1,一評価が数時間かかる低次元問題での事前確認: 評価数削減,S035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,medium,2026-07-13
CAM0010,EC006,ALT_STAT_INFERENCE,2,一評価が数時間かかる低次元問題での事前確認: point optimumだけでなく不確実性,S035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074;S054;S055;S056,medium,2026-07-13
CAM0011,EC007,ALT_DECOMPOSITION,1,高次元black-box問題での事前確認: memory/parallel性,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0012,EC007,ALT_SURROGATE,2,高次元black-box問題での事前確認: 評価数削減,S033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075;S054;S055,high,2026-07-13
CAM0013,EC008,ALT_GRAPH,1,0-1変数と線形制約での事前確認: 多項式時間構造を利用,S005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,high,2026-07-13
CAM0014,EC008,ALT_DYNAMIC_PROGRAMMING,2,0-1変数と線形制約での事前確認: 部分問題を再利用,S005;S016;S021;S024;S025;S028;S022;S053;S079;S054;S055;S056,high,2026-07-13
CAM0015,EC009,ALT_RELAXATION,1,整数変数と非線形目的での事前確認: 証明・bound,S021;S029;S005;S016;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0016,EC009,ALT_DECOMPOSITION,2,整数変数と非線形目的での事前確認: memory/parallel性,S021;S029;S005;S016;S024;S025;S028;S054;S055;S056,high,2026-07-13
CAM0017,EC010,ALT_GRAPH,1,線形計画問題での事前確認: 多項式時間構造を利用,S004;S016;S055;S010;S012;S013;S014;S062;S054;S056,high,2026-07-13
CAM0018,EC010,ALT_SPECIALIZED,2,線形計画問題での事前確認: 保証・数値性・速度,S004;S016;S055;S010;S012;S013;S014;S062;S054;S056,high,2026-07-13
