alternative_id,name_ja,name_en,trigger_conditions,preferred_approach,why_before_generic_optimization,false_positive_warning,related_problem_ids,representative_implementations,source_ids,confidence,last_verified
ALT_CLOSED_FORM,閉形式解,Closed-form solution,一階条件・共役・対称性から解析解が得られる,記号計算・解析導出,反復誤差と初期値依存を避ける,専用構造が近似的な場合は還元誤差・制約を確認。,PA001;PA006,I_JAXOPT;I_CASADI,S054;S055;S056,high,2026-07-13
ALT_LINEAR_SYSTEM,線形方程式,Linear system,最適性条件がAx=bへ還元,直接法/Krylov法,残差二乗化による条件数悪化を避ける,専用構造が近似的な場合は還元誤差・制約を確認。,PA002;PA005,I_PETSC_TAO,S054;S055;S056,high,2026-07-13
ALT_EIGEN,固有値・SVD,Eigen/SVD,Rayleigh商・低rank近似,固有値/SVD専用法,行列構造を利用,専用構造が近似的な場合は還元誤差・制約を確認。,PA003;PA037,I_DRAKE;I_PYMANOPT,S054;S055;S056,high,2026-07-13
ALT_LEAST_SQUARES,最小二乗専用法,Least-squares solver,残差vectorの二乗和,QR/SVD/LM/TRF,Jacobian・残差構造を保持,専用構造が近似的な場合は還元誤差・制約を確認。,PA004;PA005;PA033;PA034;PA055;PA056,I_SCIPY_LEAST_SQUARES_TRF;I_CERES,S054;S055;S056,high,2026-07-13
ALT_ROOT,求根,Root finding,F(x)=0が本来の目的,Newton/Krylov/root API,スカラー目的化を避ける,専用構造が近似的な場合は還元誤差・制約を確認。,PA004;PA047;PA048,I_SCIPY_LEAST_SQUARES_TRF,S054;S055;S056,high,2026-07-13
ALT_FEASIBILITY,制約充足,Feasibility,目的より可行性が中心,phase-I/CP/SAT,可行解探索を独立,専用構造が近似的な場合は還元誤差・制約を確認。,PA016;PA026;PA027,I_ORTOOLS_CPSAT;I_SCIP,S054;S055;S056,high,2026-07-13
ALT_DYNAMIC_PROGRAMMING,動的計画法,Dynamic programming,状態・段階・最適部分構造,DP,部分問題を再利用,専用構造が近似的な場合は還元誤差・制約を確認。,PA023;PA026;PA029;PA031;PA032,I_ORTOOLS_ROUTING,S054;S055;S056,high,2026-07-13
ALT_GRAPH,グラフ専用法,Graph algorithm,flow/path/matching等,専用graph法,多項式時間構造を利用,専用構造が近似的な場合は還元誤差・制約を確認。,PA017;PA023;PA028;PA029;PA030;PA031,I_ORTOOLS_ROUTING;I_ORTOOLS_GLOP,S054;S055;S056,high,2026-07-13
ALT_SPECIALIZED,専用solver,Specialized solver,LP/QP/錐/LS/制御等,構造専用solver,保証・数値性・速度,専用構造が近似的な場合は還元誤差・制約を確認。,PA009;PA017;PA018;PA020;PA021;PA022;PA023;PA024;PA027;PA032;PA037;PA042;PA043;PA044;PA045;PA047;PA048;PA050;PA053,I_CVXPY;I_PYOMO;I_JUMP,S054;S055;S056,high,2026-07-13
ALT_PROJECTION_PROX,射影・近接作用素,Projection/prox,proxまたは射影が安価,proximal/projected法,非滑らか/制約構造を利用,専用構造が近似的な場合は還元誤差・制約を確認。,PA008;PA010;PA018;PA035;PA036;PA055,I_JAXOPT;I_CVXPY,S054;S055;S056,high,2026-07-13
ALT_STAT_INFERENCE,統計推定・Bayes推論,Statistical inference,不確実性が主目的,推定・posterior,point optimumだけでなく不確実性,専用構造が近似的な場合は還元誤差・制約を確認。,PA013;PA034;PA038;PA039;PA040;PA049;PA052;PA054;PA056,I_BOTORCH;I_AX,S054;S055;S056,high,2026-07-13
ALT_SIMULATION_SEARCH,simulation/探索,Simulation/search,最適性より挙動探索,DOE/探索,問題目的を再確認,専用構造が近似的な場合は還元誤差・制約を確認。,PA012,I_NEVERGRAD;I_NOMAD,S054;S055;S056,high,2026-07-13
ALT_SYMBOLIC,記号計算,Symbolic,小規模解析可能,CAS,式構造利用,専用構造が近似的な場合は還元誤差・制約を確認。,PA001,I_CASADI,S054;S055;S056,high,2026-07-13
ALT_ENUMERATION,列挙,Enumeration,探索空間が小さい,完全列挙,証明可能,専用構造が近似的な場合は還元誤差・制約を確認。,,I_MINIZINC,S054;S055;S056,high,2026-07-13
ALT_DECOMPOSITION,分解,Decomposition,block/scenario/time構造,分解法,memory/parallel性,専用構造が近似的な場合は還元誤差・制約を確認。,PA007;PA015;PA025;PA040;PA041;PA042;PA045;PA046;PA049;PA051,I_PETSC_TAO;I_PYOMO,S054;S055;S056,high,2026-07-13
ALT_RELAXATION,緩和,Relaxation,下界・凸緩和が得られる,LP/SOCP/SDP緩和,証明・bound,専用構造が近似的な場合は還元誤差・制約を確認。,PA019;PA021;PA024;PA025;PA046;PA050,I_SCIP;I_GUROBI;I_MOSEK,S054;S055;S056,high,2026-07-13
ALT_SURROGATE,surrogate,Surrogate modeling,評価が高価,BO/RSM,評価数削減,専用構造が近似的な場合は還元誤差・制約を確認。,PA012;PA013;PA014;PA015;PA016;PA039;PA054,I_BOTORCH;I_OPTUNA,S054;S055;S056,high,2026-07-13
ALT_GENERIC_OPT,汎用最適化,Generic optimization,専用構造なし,適合する汎用法,最適化として妥当,専用構造が近似的な場合は還元誤差・制約を確認。,PA006;PA007;PA008;PA009;PA011;PA014;PA019;PA038,I_SCIPY_BFGS;I_IPOPT,S054;S055;S056,high,2026-07-13
