rule_id,question_id,answer_condition,condition_expression,action_type,action_target_type,action_target_ids,priority_effect,explanation,warnings,next_question_id,stop_or_continue,source_ids,confidence,last_verified
R001,Q01,continuous,answer(Q01) contains 'continuous',include_problem,problem,PA006;PA007;PA008;PA009,candidate,連続最適化familyを候補にする。,,Q02,continue,S054;S055;S056,high,2026-07-13
R002,Q01,integer,answer(Q01) contains 'integer',promote_method,method,M_BRANCH_CUT;M_CP_SAT;M_DYNAMIC_PROGRAMMING,high,整数可行性をnativeに扱う手法を優先。,連続緩和の丸めだけでは可行性・証明を保証しない。,Q02,continue,S054;S055;S056,high,2026-07-13
R003,Q01,binary,answer(Q01) contains 'binary',promote_method,method,M_CP_SAT;M_BRANCH_CUT;M_CDCL_SAT,high,Boolean/0-1構造をnativeに扱う。,論理構造が強ければCP-SAT/SAT、線形緩和が強ければMILP。,Q02,continue,S054;S055;S056,high,2026-07-13
R004,Q01,categorical,answer(Q01) contains 'categorical',promote_method,method,M_TPE;M_SMAC_RF;M_GENETIC_ALGORITHM,medium,カテゴリを自然に扱うmodel/encodingを選ぶ。,one-hot連続化は不自然な距離を導入し得る。,Q02,continue,S054;S055;S056,high,2026-07-13
R005,Q01,mixed,answer(Q01) contains 'mixed',promote_method,method,M_BRANCH_CUT;M_CP_SAT;M_TPE;M_SMAC_RF,high,数式modelならMIP/CP、black-boxなら混合空間surrogateを検討。,,Q02,continue,S054;S055;S056,high,2026-07-13
R006,Q01,structured_or_unknown,answer(Q01) contains 'structured_or_unknown',ask_followup,feature,F_VARIABLE_DOMAIN,none,行列・多様体・graph・trajectory等かを追加確認。,,Q02,continue,S054;S055;S056,high,2026-07-13
R007,Q02,explicit_algebraic,answer(Q02) contains 'explicit_algebraic',recommend_alternative,alternative,ALT_SPECIALIZED,high,係数・制約構造を専用solverへ渡せる可能性が高い。,,Q03,continue,S054;S055;S056,high,2026-07-13
R008,Q02,residual_vector,answer(Q02) contains 'residual_vector',recommend_alternative,alternative,ALT_LEAST_SQUARES,high,scalar二乗和に潰さずresidual/Jacobian構造を保持。,,Q03,continue,S054;S055;S056,high,2026-07-13
R009,Q02,automatic_differentiation_graph,answer(Q02) contains 'automatic_differentiation_graph',promote_method,method,M_LBFGS;M_NEWTON_CG;M_INTERIOR_POINT_NLP,high,ADにより高品質derivativeを利用。,分岐・custom op・停止判定でgradientが壊れないか検査。,Q03,continue,S054;S055;S056,high,2026-07-13
R010,Q02,simulation_only,answer(Q02) contains 'simulation_only',promote_method,method,M_MADS;M_CMA_ES;M_BAYESIAN_OPT_GP,medium,function-value black-boxとして評価費とnoiseで分岐。,内部がsmoothでもderivative unavailableとderivative nonexistentは別。,Q03,continue,S054;S055;S056,high,2026-07-13
R011,Q02,experiment_only,answer(Q02) contains 'experiment_only',promote_method,method,M_BAYESIAN_OPT_GP;M_RANDOM_SEARCH,high,高価な実験ではsequential design/surrogateが有力。,安全制約・replication・driftをmodel化。,Q03,continue,S054;S055;S056,high,2026-07-13
R012,Q02,unknown,answer(Q02) contains 'unknown',ask_followup,alternative,ALT_GENERIC_OPT;ALT_ROOT;ALT_FEASIBILITY,none,本当にoptimizationか、root/feasibility/closed-formかを先に整理。,,Q03,continue,S054;S055;S056,high,2026-07-13
R013,Q03,linear,answer(Q03) contains 'linear',promote_method,method,M_DUAL_SIMPLEX;M_SIMPLEX;M_BARRIER_LP_QP;M_PDLP,high,LP専用法を第一候補。,一般NLPへ渡すと構造と証明を失う。,Q04,continue,S054;S055;S056,high,2026-07-13
R014,Q03,quadratic,answer(Q03) contains 'quadratic',promote_method,method,M_ADMM_QP;M_ACTIVE_SET_QP;M_BARRIER_LP_QP,high,凸性を確認してQP専用solverへ。,非凸Q/QCQPはglobal保証が別問題。,Q04,continue,S054;S055;S056,high,2026-07-13
R015,Q03,sum_of_squares,answer(Q03) contains 'sum_of_squares',promote_method,method,M_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT,high,残差/Jacobian構造を利用。,外れ値にはsquared lossだけでなくrobust lossを検討。,Q04,continue,S054;S055;S056,high,2026-07-13
R016,Q03,general_nonlinear,answer(Q03) contains 'general_nonlinear',include_problem,problem,PA006;PA008;PA009,candidate,滑らかさ・制約・微分・local/globalで分岐。,,Q04,continue,S054;S055;S056,high,2026-07-13
R017,Q03,multiobjective,answer(Q03) contains 'multiobjective',promote_method,method,M_WEIGHTED_SUM;M_EPSILON_CONSTRAINT;M_NSGA_II,high,選好が明示可能ならscalarization、Pareto集合ならMOEA等。,目的scaleとperformance metricを明示。,Q04,continue,S054;S055;S056,high,2026-07-13
R018,Q03,equation_or_feasibility,answer(Q03) contains 'equation_or_feasibility',recommend_alternative,alternative,ALT_ROOT;ALT_FEASIBILITY,high,root/feasibilityを目的最小化へ変換する前に専用法。,,Q04,continue,S054;S055;S056,high,2026-07-13
R019,Q03,unknown,answer(Q03) contains 'unknown',ask_followup,feature,F_OBJECTIVE_FORM,none,式・residual・simulation traceを見てstructureを判定。,,Q04,continue,S054;S055;S056,high,2026-07-13
R020,Q04,none,answer(Q04) contains 'none',promote_method,method,M_BFGS;M_LBFGS;M_TRUST_KRYLOV,medium,滑らかなら無制約局所法。,,Q05,continue,S054;S055;S056,high,2026-07-13
R021,Q04,bounds,answer(Q04) contains 'bounds',promote_method,method,M_LBFGSB;M_PROJECTED_GRADIENT;M_ADMM_QP,high,boundsをnativeに処理。,,Q05,continue,S054;S055;S056,high,2026-07-13
R022,Q04,linear,answer(Q04) contains 'linear',promote_method,method,M_SLSQP;M_INTERIOR_POINT_NLP;M_ACTIVE_SET,medium,一般NLPならnative linear constraints、線形目的ならLPへ。,,Q05,continue,S054;S055;S056,high,2026-07-13
R023,Q04,nonlinear,answer(Q04) contains 'nonlinear',promote_method,method,M_INTERIOR_POINT_NLP;M_SQP;M_SLSQP,high,Jacobianを持つ滑らかな制約NLPが基本。,微分不能/black-box constraintならMADS/COBYLA等へ。,Q05,continue,S054;S055;S056,high,2026-07-13
