problem_id,problem_name_ja,method_id,method_name_ja,method_family_id,fit_level,beginner_priority,variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,dimension_context,evaluation_cost,noise,solution_requirement,required_conditions,exclusion_conditions,guarantee_notes,budget_notes,representative_implementation_ids,evidence_source_ids,confidence,last_verified
PA001,閉形式解候補,M_NEWTON,Newton法,MF_SMOOTH_LOCAL,conditional,expert_guidance_recommended,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_OPTIMJL,S055;S056;S002;S057,medium,2026-07-13
PA001,閉形式解候補,M_BFGS,BFGS法,MF_SMOOTH_LOCAL,viable,expert_guidance_recommended,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_BFGS;I_OPTIMJL,S055;S056;S002;S057,high,2026-07-13
PA001,閉形式解候補,M_GRADIENT_DESCENT,最急降下法,MF_SMOOTH_LOCAL,conditional,expert_guidance_recommended,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_EXCEL_SOLVER,S055;S056;S002;S057,medium,2026-07-13
PA001,閉形式解候補,M_NELDER_MEAD,Nelder–Mead単体法,MF_DFO_LOCAL,last_resort,avoid_as_default,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,global_proof,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,S055;S056;S002;S018;S031;S060;S063,medium,2026-07-13
PA001,閉形式解候補,M_RANDOM_SEARCH,random search,MF_SURROGATE_HPO,generally_unsuitable,avoid_as_default,continuous,general_nonlinear,unconstrained,unknown,smooth,analytic_gradient,very_low,cheap,deterministic,global_proof,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,問題の主要構造・変数型・保証要求と不整合。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,I_NEVERGRAD;I_OPTUNA;I_AX;I_SMAC3;I_RAY_TUNE,S055;S056;S034;S035;S036;S037;S038;S059;S069;S075,medium,2026-07-13
PA002,線形方程式に還元,M_NEWTON_CG,Newton-CG法,MF_SMOOTH_LOCAL,conditional,expert_guidance_recommended,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PETSC_TAO,S054;S056;S002;S057,medium,2026-07-13
PA002,線形方程式に還元,M_NEWTON,Newton法,MF_SMOOTH_LOCAL,viable,expert_guidance_recommended,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_OPTIMJL,S054;S056;S002;S057,high,2026-07-13
PA002,線形方程式に還元,M_ADMM,交互方向乗数法,MF_COMPOSITE_CONVEX,conditional,expert_guidance_recommended,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,凸性または適切な単調性。近接作用素・射影・分解が計算可能。,非凸で証明必須;prox/射影が高価;離散変数,モデル仮定、数値許容差、solver status、primal/dual residualまたはgapを満たす場合に限る。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCS,S054;S056;S055;S061;S066;S067,medium,2026-07-13
PA002,線形方程式に還元,M_BFGS,BFGS法,MF_SMOOTH_LOCAL,last_resort,avoid_as_default,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_BFGS;I_OPTIMJL,S054;S056;S002;S057,medium,2026-07-13
PA002,線形方程式に還元,M_DIFFERENTIAL_EVOLUTION,差分進化,MF_GLOBAL_SEARCH,generally_unsuitable,avoid_as_default,continuous,equation_residual,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,有限探索領域と十分な評価予算。証明型では追加構造。,問題の主要構造・変数型・保証要求と不整合。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_DIFFERENTIAL_EVOLUTION;I_NEVERGRAD,S054;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
PA003,固有値・特異値問題,M_RIEMANNIAN_TRUST_REGION,Riemann trust-region法,MF_MANIFOLD,conditional,expert_guidance_recommended,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,global_proof,変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,多様体構造が不要;不連続;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PYMANOPT;I_MANOPT_MATLAB,S054;S071;S044;S045,medium,2026-07-13
PA003,固有値・特異値問題,M_RIEMANNIAN_GRADIENT,Riemann勾配法,MF_MANIFOLD,viable,expert_guidance_recommended,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,global_proof,変数の多様体構造、接空間射影、retraction、Riemann metricが定義可能。,多様体構造が不要;不連続;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PYMANOPT;I_MANOPT_MATLAB,S054;S071;S044;S045,high,2026-07-13
PA003,固有値・特異値問題,M_NEWTON_CG,Newton-CG法,MF_SMOOTH_LOCAL,conditional,expert_guidance_recommended,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PETSC_TAO,S054;S071;S002;S056;S057,medium,2026-07-13
PA003,固有値・特異値問題,M_BFGS,BFGS法,MF_SMOOTH_LOCAL,last_resort,avoid_as_default,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_BFGS;I_OPTIMJL,S054;S071;S002;S056;S057,medium,2026-07-13
PA003,固有値・特異値問題,M_GENETIC_ALGORITHM,遺伝的algorithm,MF_EVOLUTIONARY,generally_unsuitable,avoid_as_default,matrix,quadratic,manifold,nonconvex,smooth,analytic_gradient,high,cheap,deterministic,global_proof,評価予算と妥当な変数表現・境界・乱数管理。,問題の主要構造・変数型・保証要求と不整合。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PYMOO;I_DEAP,S054;S071;S032;S033;S040;S058;S074,medium,2026-07-13
PA004,方程式の求根,M_GAUSS_NEWTON,Gauss–Newton法,MF_TRUST_REGION,conditional,expert_guidance_recommended,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,local_stationary,局所モデルと微分情報が利用可能。,不連続;強いノイズ;微分不能,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_LEAST_SQUARES_TRF;I_CERES;I_JAXOPT,S080;S056;S002;S003;S041,medium,2026-07-13
PA004,方程式の求根,M_LEVENBERG_MARQUARDT,Levenberg–Marquardt法,MF_TRUST_REGION,viable,expert_guidance_recommended,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,local_stationary,局所モデルと微分情報が利用可能。,不連続;強いノイズ;微分不能,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_LEAST_SQUARES_LM;I_CERES,S080;S056;S002;S003;S041,high,2026-07-13
PA004,方程式の求根,M_NEWTON,Newton法,MF_SMOOTH_LOCAL,conditional,expert_guidance_recommended,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,local_stationary,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_OPTIMJL,S080;S056;S002;S057,medium,2026-07-13
PA004,方程式の求根,M_BFGS,BFGS法,MF_SMOOTH_LOCAL,last_resort,avoid_as_default,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,local_stationary,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_BFGS;I_OPTIMJL,S080;S056;S002;S057,medium,2026-07-13
PA004,方程式の求根,M_RANDOM_SEARCH,random search,MF_SURROGATE_HPO,generally_unsuitable,avoid_as_default,continuous,equation_residual,unconstrained,unknown,smooth,jacobian,medium,moderate,deterministic,local_stationary,評価が高価で履歴再利用に価値がある。search spaceとnoise/resourceを適切にmodel化。,問題の主要構造・変数型・保証要求と不整合。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,評価回数を主予算として管理。surrogate fit時間より実評価節約が価値を持つ条件を確認。,I_NEVERGRAD;I_OPTUNA;I_AX;I_SMAC3;I_RAY_TUNE,S080;S056;S034;S035;S036;S037;S038;S059;S069;S075,medium,2026-07-13
PA005,線形最小二乗,M_GAUSS_NEWTON,Gauss–Newton法,MF_TRUST_REGION,default_choice,first_try,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,局所モデルと微分情報が利用可能。,不連続;強いノイズ;微分不能,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_LEAST_SQUARES_TRF;I_CERES;I_JAXOPT,S003;S056;S002;S041,high,2026-07-13
PA005,線形最小二乗,M_LEVENBERG_MARQUARDT,Levenberg–Marquardt法,MF_TRUST_REGION,strongly_recommended,second_try,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,局所モデルと微分情報が利用可能。,不連続;強いノイズ;微分不能,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_LEAST_SQUARES_LM;I_CERES,S003;S056;S002;S041,high,2026-07-13
PA005,線形最小二乗,M_LBFGS,L-BFGS法,MF_SMOOTH_LOCAL,recommended,expert_guidance_recommended,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_NLOPT;I_PETSC_TAO;I_JAXOPT;I_PYTORCH_OPTIM;I_OPTIMJL,S003;S056;S002;S057;S065,medium,2026-07-13
PA005,線形最小二乗,M_ADAM,Adam,MF_STOCHASTIC_ML,conditional,expert_guidance_recommended,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,unbiasedまたは有用なstochastic gradient、学習率schedule、batch sampling。,小規模高精度凸問題;厳密gap必須;勾配が不正,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,epoch/stepだけでなくsample処理数、forward/backward、validation費を追跡。,I_OPTAX;I_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM,S003;S056;S047;S048;S049;S070,medium,2026-07-13
PA005,線形最小二乗,M_CMA_ES,CMA-ES,MF_EVOLUTIONARY,generally_unsuitable,avoid_as_default,continuous,sum_of_squares,unconstrained,convex,smooth,jacobian,high,cheap,deterministic,global_proof,評価予算と妥当な変数表現・境界・乱数管理。,問題の主要構造・変数型・保証要求と不整合。,要求される大域証明/gapをこの手法単独では満たさない。候補解生成またはupper bound用途に限定。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_PYCMA;I_NEVERGRAD,S003;S056;S032;S033;S040;S058;S074,medium,2026-07-13
PA006,滑らかな低次元無制約,M_BFGS,BFGS法,MF_SMOOTH_LOCAL,default_choice,first_try,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,local_stationary,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_BFGS;I_OPTIMJL,S002;S056;S057,high,2026-07-13
PA006,滑らかな低次元無制約,M_TRUST_EXACT,厳密trust-region Newton法,MF_TRUST_REGION,strongly_recommended,second_try,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,local_stationary,局所モデルと微分情報が利用可能。,不連続;強いノイズ;微分不能,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,,S002;S056;S003,high,2026-07-13
PA006,滑らかな低次元無制約,M_NEWTON,Newton法,MF_SMOOTH_LOCAL,recommended,expert_guidance_recommended,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,local_stationary,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_OPTIMJL,S002;S056;S057,medium,2026-07-13
PA006,滑らかな低次元無制約,M_NELDER_MEAD,Nelder–Mead単体法,MF_DFO_LOCAL,conditional,expert_guidance_recommended,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,local_stationary,評価が有限で、局所探索に十分な予算。手法により局所Lipschitz性等。,高次元かつ高価;厳密大域証明;離散混合を無変換で扱う,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_NELDER_MEAD;I_NLOPT;I_OPTIMJL,S002;S056;S018;S031;S060;S063,medium,2026-07-13
PA006,滑らかな低次元無制約,M_DIFFERENTIAL_EVOLUTION,差分進化,MF_GLOBAL_SEARCH,generally_unsuitable,avoid_as_default,continuous,general_nonlinear,unconstrained,nonconvex,smooth,analytic_gradient,low,cheap,deterministic,local_stationary,有限探索領域と十分な評価予算。証明型では追加構造。,問題の主要構造・変数型・保証要求と不整合。,大域的に探索するが有限予算の最適性証明ではない。seed/再実行/下界比較が必要。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_SCIPY_DIFFERENTIAL_EVOLUTION;I_NEVERGRAD,S002;S056;S006;S007;S008;S009;S072;S073;S074,medium,2026-07-13
PA007,高次元・勾配利用可能,M_LBFGS,L-BFGS法,MF_SMOOTH_LOCAL,default_choice,first_try,continuous,general_nonlinear,unconstrained,nonconvex,smooth,automatic_differentiation,high,moderate,deterministic,local_stationary,目的が局所的に十分滑らか。微分情報または信頼できる近似が利用可能。,不連続;評価ノイズが勾配を支配;離散変数,非凸では局所stationary/KKT点。凸性が確認できる場合のみ局所条件を大域性へ読み替えられる。,目的・制約・微分の各評価回数と総wall-clockを分けて記録。,I_NLOPT;I_PETSC_TAO;I_JAXOPT;I_PYTORCH_OPTIM;I_OPTIMJL,S019;S046;S056;S002;S057;S065,high,2026-07-13
