source_id,source_type,title,author_or_organization,publication_date,accessed_date,url,supported_claim,source_quality,notes,currentness_status
S001,official_documentation,SciPy Optimization and root finding,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/optimize.html,SciPy optimize API分類,primary,,verified_current
S002,official_documentation,scipy.optimize.minimize,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.minimize.html,minimize手法・微分・制約,primary,,verified_current
S003,official_documentation,scipy.optimize.least_squares,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.least_squares.html,非線形最小二乗,primary,,verified_current
S004,official_documentation,scipy.optimize.linprog,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.linprog.html,LP/HiGHS,primary,,verified_current
S005,official_documentation,scipy.optimize.milp,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.milp.html,MILP/HiGHS,primary,,verified_current
S006,official_documentation,scipy.optimize.differential_evolution,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.differential_evolution.html,差分進化,primary,,verified_current
S007,official_documentation,scipy.optimize.shgo,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.shgo.html,SHGO,primary,,verified_current
S008,official_documentation,scipy.optimize.direct,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.direct.html,DIRECT,primary,,verified_current
S009,official_documentation,scipy.optimize.dual_annealing,SciPy,,2026-07-13,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.dual_annealing.html,Dual annealing,primary,,verified_current
S010,official_documentation,CVXPY,CVXPY,,2026-07-13,https://www.cvxpy.org/,DCPモデリング,primary,,verified_current
S011,official_documentation,CVXPY Solver Features,CVXPY,,2026-07-13,https://www.cvxpy.org/tutorial/solvers/index.html,backend対応,primary,,verified_current
S012,official_documentation,OSQP Documentation,OSQP,,2026-07-13,https://osqp.org/docs/,凸QP/ADMM/warm start,primary,,verified_current
S013,official_documentation,SCS Documentation,SCS,,2026-07-13,https://www.cvxgrp.org/scs/,一次錐solver,primary,,verified_current
S014,official_documentation,Clarabel Documentation,Clarabel,,2026-07-13,https://clarabel.org/stable/,内点錐solver,primary,,verified_current
S015,official_documentation,CVXOPT,CVXOPT,,2026-07-13,https://cvxopt.org/,凸最適化,primary,,verified_current
S016,official_documentation,HiGHS,HiGHS,,2026-07-13,https://highs.dev/,LP/MIP/QP,primary,,verified_current
S017,official_documentation,Ipopt Documentation,COIN-OR,,2026-07-13,https://coin-or.github.io/Ipopt/,大規模滑らかNLP,primary,,verified_current
S018,official_documentation,NLopt Documentation,NLopt,,2026-07-13,https://nlopt.readthedocs.io/en/latest/,局所・大域手法集,primary,,verified_current
S019,official_documentation,PETSc TAO,PETSc,,2026-07-13,https://petsc.org/release/overview/tao/,大規模並列最適化,primary,,verified_current
S020,official_documentation,Pyomo Documentation,Pyomo,,2026-07-13,https://pyomo.readthedocs.io/en/stable/,数理モデリング,primary,,verified_current
