problem_alternative_map_id,problem_id,alternative_id,priority,sequence,rationale,source_ids,confidence,last_verified
PAM0001,PA001,ALT_CLOSED_FORM,precheck,1,閉形式解候補に汎用最適化を適用する前に 閉形式解 を検討。,S055;S056;S054,high,2026-07-13
PAM0002,PA001,ALT_SYMBOLIC,precheck,2,閉形式解候補に汎用最適化を適用する前に 記号計算 を検討。,S055;S056;S054,high,2026-07-13
PAM0003,PA002,ALT_LINEAR_SYSTEM,precheck,1,線形方程式に還元に汎用最適化を適用する前に 線形方程式 を検討。,S054;S056;S055,high,2026-07-13
PAM0004,PA003,ALT_EIGEN,precheck,1,固有値・特異値問題に汎用最適化を適用する前に 固有値・SVD を検討。,S054;S071;S055;S056,high,2026-07-13
PAM0005,PA004,ALT_ROOT,precheck,1,方程式の求根に汎用最適化を適用する前に 求根 を検討。,S080;S056;S054;S055,high,2026-07-13
PAM0006,PA004,ALT_LEAST_SQUARES,precheck,2,方程式の求根に汎用最適化を適用する前に 最小二乗専用法 を検討。,S080;S056;S054;S055,high,2026-07-13
PAM0007,PA005,ALT_LEAST_SQUARES,precheck,1,線形最小二乗に汎用最適化を適用する前に 最小二乗専用法 を検討。,S003;S056;S054;S055,high,2026-07-13
PAM0008,PA005,ALT_LINEAR_SYSTEM,precheck,2,線形最小二乗に汎用最適化を適用する前に 線形方程式 を検討。,S003;S056;S054;S055,high,2026-07-13
PAM0009,PA006,ALT_CLOSED_FORM,precheck,1,滑らかな低次元無制約に汎用最適化を適用する前に 閉形式解 を検討。,S002;S056;S054;S055,high,2026-07-13
PAM0010,PA006,ALT_GENERIC_OPT,precheck,2,滑らかな低次元無制約に汎用最適化を適用する前に 汎用最適化 を検討。,S002;S056;S054;S055,high,2026-07-13
PAM0011,PA007,ALT_DECOMPOSITION,precheck,1,高次元・勾配利用可能に汎用最適化を適用する前に 分解 を検討。,S019;S046;S056;S054;S055,high,2026-07-13
PAM0012,PA007,ALT_GENERIC_OPT,precheck,2,高次元・勾配利用可能に汎用最適化を適用する前に 汎用最適化 を検討。,S019;S046;S056;S054;S055,high,2026-07-13
PAM0013,PA008,ALT_PROJECTION_PROX,precheck,1,上下限制約付き滑らかに汎用最適化を適用する前に 射影・近接作用素 を検討。,S002;S065;S054;S055;S056,high,2026-07-13
PAM0014,PA008,ALT_GENERIC_OPT,precheck,2,上下限制約付き滑らかに汎用最適化を適用する前に 汎用最適化 を検討。,S002;S065;S054;S055;S056,high,2026-07-13
PAM0015,PA009,ALT_SPECIALIZED,precheck,1,一般滑らか制約付きNLPに汎用最適化を適用する前に 専用solver を検討。,S017;S029;S030;S056;S054;S055,high,2026-07-13
PAM0016,PA009,ALT_GENERIC_OPT,precheck,2,一般滑らか制約付きNLPに汎用最適化を適用する前に 汎用最適化 を検討。,S017;S029;S030;S056;S054;S055,high,2026-07-13
PAM0017,PA010,ALT_PROJECTION_PROX,precheck,1,非滑らか凸複合に汎用最適化を適用する前に 射影・近接作用素 を検討。,S055;S066;S067;S054;S056,high,2026-07-13
