evidence_link_id,source_id,target_table,target_id,supported_field,claim_summary,evidence_role,confidence,last_verified
EL000001,S055,problem_archetypes,PA001,row,閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000002,S056,problem_archetypes,PA001,row,閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000003,S054,problem_archetypes,PA002,row,線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000004,S056,problem_archetypes,PA002,row,線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000005,S054,problem_archetypes,PA003,row,固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000006,S071,problem_archetypes,PA003,row,固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,supporting_or_primary,high,2026-07-13
EL000007,S080,problem_archetypes,PA004,row,方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000008,S056,problem_archetypes,PA004,row,方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000009,S003,problem_archetypes,PA005,row,線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000010,S056,problem_archetypes,PA005,row,線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000011,S002,problem_archetypes,PA006,row,滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000012,S056,problem_archetypes,PA006,row,滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000013,S019,problem_archetypes,PA007,row,高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000014,S046,problem_archetypes,PA007,row,高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000015,S056,problem_archetypes,PA007,row,高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000016,S002,problem_archetypes,PA008,row,上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000017,S065,problem_archetypes,PA008,row,上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000018,S017,problem_archetypes,PA009,row,一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000019,S029,problem_archetypes,PA009,row,一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000020,S030,problem_archetypes,PA009,row,一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000021,S056,problem_archetypes,PA009,row,一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000022,S055,problem_archetypes,PA010,row,非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000023,S066,problem_archetypes,PA010,row,非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000024,S067,problem_archetypes,PA010,row,非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,supporting_or_primary,high,2026-07-13
EL000025,S018,problem_archetypes,PA011,row,一般非滑らか局所。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000026,S031,problem_archetypes,PA011,row,一般非滑らか局所。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000027,S060,problem_archetypes,PA011,row,一般非滑らか局所。変数=continuous、目的=general_nonlinear、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000028,S031,problem_archetypes,PA012,row,不連続決定論black-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000029,S033,problem_archetypes,PA012,row,不連続決定論black-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000030,S032,problem_archetypes,PA013,row,noiseを含むblack-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000031,S035,problem_archetypes,PA013,row,noiseを含むblack-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000032,S059,problem_archetypes,PA013,row,noiseを含むblack-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000033,S035,problem_archetypes,PA014,row,非常に高価な低次元評価。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000034,S059,problem_archetypes,PA014,row,非常に高価な低次元評価。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000035,S075,problem_archetypes,PA014,row,非常に高価な低次元評価。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000036,S033,problem_archetypes,PA015,row,高次元black-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000037,S035,problem_archetypes,PA015,row,高次元black-box。変数=continuous、目的=simulation、制約=bounds。,supporting_or_primary,high,2026-07-13
EL000038,S031,problem_archetypes,PA016,row,失敗・NaNを伴うsimulation。変数=mixed、目的=simulation、制約=implicit。,supporting_or_primary,high,2026-07-13
EL000039,S035,problem_archetypes,PA016,row,失敗・NaNを伴うsimulation。変数=mixed、目的=simulation、制約=implicit。,supporting_or_primary,high,2026-07-13
EL000040,S004,problem_archetypes,PA017,row,線形計画。変数=continuous、目的=linear、制約=linear。,supporting_or_primary,high,2026-07-13
EL000041,S016,problem_archetypes,PA017,row,線形計画。変数=continuous、目的=linear、制約=linear。,supporting_or_primary,high,2026-07-13
EL000042,S055,problem_archetypes,PA017,row,線形計画。変数=continuous、目的=linear、制約=linear。,supporting_or_primary,high,2026-07-13
EL000043,S012,problem_archetypes,PA018,row,凸二次計画。変数=continuous、目的=quadratic、制約=linear。,supporting_or_primary,high,2026-07-13
EL000044,S016,problem_archetypes,PA018,row,凸二次計画。変数=continuous、目的=quadratic、制約=linear。,supporting_or_primary,high,2026-07-13
EL000045,S062,problem_archetypes,PA018,row,凸二次計画。変数=continuous、目的=quadratic、制約=linear。,supporting_or_primary,high,2026-07-13
EL000046,S021,problem_archetypes,PA019,row,非凸QP/QCQP。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
EL000047,S024,problem_archetypes,PA019,row,非凸QP/QCQP。変数=continuous、目的=quadratic、制約=mixed。,supporting_or_primary,high,2026-07-13
