view_id,case_id,scenario,first_method,first_method_id,second_method,second_method_id,why,check_before_use,common_failure,switch_condition,representative_implementations,additional_question,confidence,last_verified
BV001,EC001,滑らかな低次元の制約なし連続最適化,BFGS法,M_BFGS,厳密trust-region Newton法,M_TRUST_EXACT,gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,凸性、Hessianの可否、初期値感度。,悪いscale、gradient bug、局所解。,gradient check不一致なら修正、初期値で異なるならmultistart。,I_SCIPY_BFGS;I_OPTIMJL,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV002,EC002,高次元だが勾配が利用可能,L-BFGS法,M_LBFGS,Newton-CG法,M_NEWTON_CG,dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,memory、HVP cost、preconditioner、block構造。,悪条件、通信費、line search失敗。,L-BFGS停滞ならNewton-Krylov/preconditioning。,I_PETSC_TAO;I_JAXOPT;I_SCIPY_LBFGSB,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV003,EC003,解析的勾配はないが数値微分が可能,BFGS法,M_BFGS,COBYQA,M_COBYQA,O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,step感度、変数scale、complex-step可否。,finite-difference cancellation、隠れた分岐。,step sweepで不安定ならAD/complex-step/DFO。,I_SCIPY_BFGS;I_SCIPY_COBYQA,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV004,EC004,数値微分の評価コストが大きすぎる,同時摂動確率近似,M_SPSA,高次元局所Bayesian最適化,M_TURBO_SAASBO,SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,noise、有効次元、parallel数、fidelity。,SPSA variance、surrogate misspecification。,有効次元なし/進展なしならparameterization再設計。,I_NLOPT;I_BOTORCH;I_AX,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV005,EC005,noiseを含むblack-box関数,CMA-ES,M_CMA_ES,Gaussian process Bayesian optimization,M_BAYESIAN_OPT_GP,CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,noise分散、replication、seed、heteroskedasticity。,noise floor、seed依存、BO過信。,replicateでnoiseを測り、改善量以下なら停止/再設計。,I_PYCMA;I_BOTORCH,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV006,EC006,一評価が数時間かかる低次元問題,Gaussian process Bayesian optimization,M_BAYESIAN_OPT_GP,DIRECT,M_DIRECT,surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,安全制約、parallel worker、prior data、multi-fidelity。,model mismatch、acquisition duplicate、失敗評価。,surrogate CV不良ならrandomized space-filling + local refinement。,I_BOTORCH;I_AX,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,medium,2026-07-13
BV007,EC007,高次元black-box問題,同時摂動確率近似,M_SPSA,高次元局所Bayesian最適化,M_TURBO_SAASBO,通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,有効次元、block、sparsity、embedding、noise。,高次元BO破綻、SPSA variance。,構造が見つからなければ問題parameterizationを見直す。,I_BOTORCH;I_NLOPT,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV008,EC008,0-1変数と線形制約,branch-and-cut,M_BRANCH_CUT,CP-SAT,M_CP_SAT,MILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,LP relaxation、logic、Big-M、time limit。,weak relaxation、symmetry、no incumbent。,root gap大なら定式化強化/CP-SAT比較。,I_SCIPY_MILP_HIGHS;I_SCIP;I_ORTOOLS_CPSAT;I_GUROBI,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV009,EC009,整数変数と非線形目的,空間branch-and-bound,M_SPATIAL_BRANCH_BOUND,outer approximation MINLP,M_OUTER_APPROX_MINLP,nonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,factorability、convexity、bounds、derivative。,緩和弱い、bounds不足、局所NLP失敗。,証明不要ならheuristic incumbent生成を併用。,I_SCIP;I_KNITRO;I_GUROBI,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV010,EC010,線形計画問題,dual simplex法,M_DUAL_SIMPLEX,primal-dual barrier法,M_BARRIER_LP_QP,LP専用solverは大域性、dual、presolve、sparsityを提供。,再最適化、basis、精度、nnz。,infeasible/unbounded混同、scale、degeneracy。,巨大で中精度ならPDLP、再最適化ならdual simplex。,I_SCIPY_LINPROG_HIGHS;I_HIGHS_NATIVE;I_ORTOOLS_GLOP,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV011,EC011,凸二次計画問題,operator-splitting QP,M_ADMM_QP,active-set QP,M_ACTIVE_SET_QP,OSQP型はfactorization/warm start、active-setはactive set安定時に有力。汎用BFGSは構造/gapを失う。,PSD確認、求める精度、warm-start変化量。,ADMM残差不均衡、stale warm start。,高精度/gap停滞ならconic IPMへ。,I_OSQP;I_CLARABEL;I_GUROBI,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV012,EC012,非凸二次計画問題,空間branch-and-bound,M_SPATIAL_BRANCH_BOUND,multi-start局所最適化,M_MULTISTART,空間branch-and-boundでrelaxationとbound。multistartはincumbentのみ。凸QP用ADMMは前提違反。,変数bounds、quadratic structure、許容gap。,誤ってPSD扱い、weak relaxation、tree explosion。,bounds強化/SDP・McCormick緩和を検討。,I_GUROBI;I_SCIP;I_MOSEK,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV013,EC013,非線形最小二乗問題,Levenberg–Marquardt法,M_LEVENBERG_MARQUARDT,Gauss–Newton法,M_GAUSS_NEWTON,残差/Jacobian専用法がscalar目的DFOより評価・診断で優れる。,rank、残差scale、robust loss、bounds。,rank deficiency、外れ値、悪い初期値。,bounds/疎ならTRF、rank不良ならregularization。,I_SCIPY_LEAST_SQUARES_LM;I_CERES,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV014,EC014,外れ値を含むparameter推定,Gauss–Newton法,M_GAUSS_NEWTON,bundle法,M_BUNDLE,robust loss付きleast-squaresを第一候補。厳密L1等なら非滑らか法。CMAは構造を捨てる。,outlier model、loss scale、uncertainty。,squared loss支配、loss tuning bias。,residual diagnostics不良なら統計model再設計。,I_CERES;I_SCIPY_LEAST_SQUARES_TRF,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV015,EC015,単体上の最適化,mirror descent,M_MIRROR_DESCENT,射影勾配法,M_PROJECTED_GRADIENT,entropy geometryのmirror descentまたはsimplex projection。無制約L-BFGSは可行性を維持しない。,境界解、sparsity、projection/prox cost。,zero成分、scale、projection誤差。,projectionが高価ならmirror/dual parameterization。,I_JAXOPT;I_CVXPY,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV016,EC016,SO(3)上の最適化,Riemann trust-region法,M_RIEMANNIAN_TRUST_REGION,Riemann勾配法,M_RIEMANNIAN_GRADIENT,多様体法はintrinsic可行性を維持。Euler角BFGSはsingularity。,representation、retraction、複数rotation、初期値。,gimbal lock、orthogonality drift、局所解。,closed-form Wahba/eigen解が使えるならそちらを先に。,I_PYMANOPT;I_MANOPT_MATLAB;I_CERES,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV017,EC017,多目的最適化,NSGA-II,M_NSGA_II,ε-constraint法,M_EPSILON_CONSTRAINT,NSGA-IIで近似Pareto集合。ε-constraintはbackendで系統的。weighted sumだけでは非凸front欠落。,目的scale、reference point、評価budget、選好。,poor coverage、hypervolume基準依存。,選好が明確になればscalarizationへ。,I_PYMOO;I_CVXPY,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV018,EC018,scheduling,CP-SAT,M_CP_SAT,branch-and-cut,M_BRANCH_CUT,global scheduling constraintsとpropagationを持つCP-SAT。MILPは定式化次第。,horizon、calendar、setup、soft constraints。,weak propagation、symmetry、整数scale。,branches爆発ならglobal constraints/search strategy/model分解。,I_ORTOOLS_CPSAT;I_MINIZINC;I_CPLEX,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV019,EC019,routing,組合せlocal search,M_LOCAL_SEARCH_COMBINATORIAL,CP-SAT,M_CP_SAT,大規模・deadlineではrouting専用local search/heuristic。証明は通常優先しない。,fleet、distance metric、time windows、optimality requirement。,不可行初期route、局所停滞、metric誤り。,証明が必要/小規模ならMILP/branch-cutへ。,I_ORTOOLS_ROUTING;I_GUROBI,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV020,EC020,最適制御・軌道最適化,direct collocation,M_DIRECT_COLLOCATION,multiple shooting,M_MULTIPLE_SHOOTING,dynamics sparsityとdefectを保持するtranscription。flat BFGSは構造を失う。,integrator、mesh、initial trajectory、realtime。,trajectory defect、mesh artifact、unstable rollout。,mesh refinementで解が変わるなら離散化を改善。,I_CASADI;I_ACADOS;I_DRAKE,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV021,EC021,neural network学習,AdamW,M_ADAMW,momentum SGD,M_MOMENTUM_SGD,GPU/stochastic gradient向けAdamWをbaseline、汎化重視ならmomentum SGD比較。,batch、schedule、regularization、validation、memory。,overfit、divergence、seed variance。,validation停滞・memory制約でoptimizer/scheduleを切替。,I_PYTORCH_OPTIM;I_TENSORFLOW_OPTIM;I_OPTAX,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
BV022,EC022,hyperparameter最適化,TPE,M_TPE,Hyperband/ASHA,M_HYPERBAND_ASHA,mixed conditional空間にTPE、fidelityがあればASHA。連続前提CMAのencodingは不自然。,learning curve、noise、failure、validation protocol。,early stopping bias、data leakage、failed trials。,curve非比較ならpruningを弱めBO/full-budgetへ。,I_OPTUNA;I_RAY_TUNE;I_SMAC3,変数型・制約・微分・評価費・noise・次元・保証のうちunknown項目を埋める。,high,2026-07-13
