feature_id,feature_code,category,name_ja,name_en,value_type,unit,allowed_vocab_id,definition,why_it_matters,boundary_notes,source_ids,confidence,last_verified
F_VARIABLE_DOMAIN,variable_domain,variable,変数領域,Variable domain,enum,,F_VARIABLE_DOMAIN_values,変数領域,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_OBJECTIVE_FORM,objective_form,objective,目的関数形式,Objective form,enum,,F_OBJECTIVE_FORM_values,目的関数形式,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_CONVEXITY,convexity,objective,凸性,Convexity,enum,,F_CONVEXITY_values,凸性,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_SMOOTHNESS,smoothness,objective,滑らかさ,Smoothness,enum,,F_SMOOTHNESS_values,滑らかさ,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_DERIVATIVE_ACCESS,derivative_access,derivative,微分情報,Derivative access,enum,,F_DERIVATIVE_ACCESS_values,微分情報,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_CONSTRAINT_CLASS,constraint_class,constraint,制約クラス,Constraint class,enum,,F_CONSTRAINT_CLASS_values,制約クラス,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_DIMENSION_CONTEXT,dimension_context,scale,次元文脈,Dimension context,enum,,F_DIMENSION_CONTEXT_values,次元文脈,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_EVALUATION_COST,evaluation_cost,budget,評価費,Evaluation cost,enum,,F_EVALUATION_COST_values,評価費,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_NOISE_LEVEL,noise_level,objective,ノイズ,Noise level,enum,,F_NOISE_LEVEL_values,ノイズ,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_SOLUTION_GOAL,solution_goal,guarantee,解要求,Solution goal,enum,,F_SOLUTION_GOAL_values,解要求,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_SCALE_STRUCTURE,scale_structure,scale,規模・構造,Scale structure,enum,,F_SCALE_STRUCTURE_values,規模・構造,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_EVALUATION_RELIABILITY,evaluation_reliability,evaluation,評価信頼性,Evaluation reliability,enum,,F_EVALUATION_RELIABILITY_values,評価信頼性,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_REPEATED_SOLVE,repeated_solve,budget,反復求解,Repeated solve,enum,,F_REPEATED_SOLVE_values,反復求解,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
F_PARALLEL_BUDGET,parallel_budget,budget,並列予算,Parallel budget,enum,,F_PARALLEL_BUDGET_values,並列予算,手法・実装・保証・計算費の選択を変える。,,S054;S056,high,2026-07-13
