term_id,term_ja,term_en,definition,common_confusion,related_entity_ids,source_ids,confidence,last_verified
G001,最適化問題,Optimization problem,目的関数を変数と制約の下で最小化または最大化する問題。,求根・方程式・可行性・推定と同一とは限らない。,,S054;S055;S056,high,2026-07-13
G002,問題アーキタイプ,Problem archetype,繰り返し現れる問題構造を代表する再利用可能な型。,個別instanceそのものではない。,,S054;S055;S056,high,2026-07-13
G003,問題特徴,Problem feature,変数型、凸性、微分、noise、費用、保証等の選択軸。,一つの問題class名に押し込まない。,,S054;S055;S056,high,2026-07-13
G004,手法family,Method family,共通原理を持つ上位概念。,API指定名と同じ階層ではない。,,S054;S055;S056,high,2026-07-13
G005,algorithm変種,Algorithm variant,一般手法の具体的な更新則・制約対応・subproblem解法。,library実装とは分離。,,S054;S055;S056,high,2026-07-13
G006,実装,Implementation,library/solver/APIとして提供されるsoftware実体。,理論上の手法と機能・数値挙動が一致するとは限らない。,,S054;S055;S056,high,2026-07-13
G007,適用可能性,Applicability,数学的前提を満たし手法を使えること。,実務上の推奨とは別。,,S054;S055;S056,high,2026-07-13
G008,実務推奨,Practical recommendation,費用・安定性・使いやすさ・diagnosticを含む条件付き推薦。,理論上可能というだけでは推薦しない。,,S054;S055;S056,high,2026-07-13
G009,局所解,Local optimum,近傍内でより良い可行解がない解。,非凸で大域解とは限らない。,,S054;S055;S056,high,2026-07-13
G010,大域解,Global optimum,全可行領域で最良の解。,global searchの出力が自動的に大域解ではない。,,S054;S055;S056,high,2026-07-13
G011,大域候補,Global candidate,大域探索により得た良い候補だが証明はない解。,certificateを持たない。,,S054;S055;S056,high,2026-07-13
G012,最適性証明,Optimality certificate,dual bound、gap、KKT/convexity等で最適性を裏付ける量。,局所KKTは非凸大域証明ではない。,,S054;S055;S056,high,2026-07-13
G013,最適性gap,Optimality gap,incumbentとvalid boundの差。,solverごとの相対gap定義を確認。,,S054;S055;S056,high,2026-07-13
G014,primal bound,Primal bound,既知の可行解の目的値によるbound。,minimizationでは通常upper bound。,,S054;S055;S056,high,2026-07-13
G015,dual bound,Dual bound,relaxation/dualから得るvalid bound。,minimizationでは通常lower bound。,,S054;S055;S056,high,2026-07-13
