case_id,title_ja,problem_id,problem_features_summary,alternative_solution_ids,first_choice_method_id,second_choice_method_id,avoid_method_id,decision_reason,additional_information_needed,representative_implementation_ids,expected_failures,switch_decision,validation_result,model_revision_notes,source_ids,confidence,last_verified
\SEC001,\S滑らかな低次元の制約なし連続最適化,\SPA006,\S連続5変数、滑らか、解析勾配あり、評価はms、局所解でよい。,\SALT_CLOSED_FORM;ALT_ROOT,\SM_BFGS,\SM_TRUST_EXACT,\SM_DIFFERENTIAL_EVOLUTION,\Sgradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,\S凸性、Hessianの可否、初期値感度。,\SI_SCIPY_BFGS;I_OPTIMJL,\S悪いscale、gradient bug、局所解。,\Sgradient check不一致なら修正、初期値で異なるならmultistart。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS002;S056;S057;S003,\Shigh,\S2026-07-13
\SEC002,\S高次元だが勾配が利用可能,\SPA007,\S連続100万変数、AD gradient/HVP、疎またはoperator形式、局所解。,\SALT_DECOMPOSITION,\SM_LBFGS,\SM_NEWTON_CG,\SM_NELDER_MEAD,\Sdense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,\Smemory、HVP cost、preconditioner、block構造。,\SI_PETSC_TAO;I_JAXOPT;I_SCIPY_LBFGSB,\S悪条件、通信費、line search失敗。,\SL-BFGS停滞ならNewton-Krylov/preconditioning。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS019;S046;S056;S002;S057;S065,\Shigh,\S2026-07-13
\SEC003,\S解析的勾配はないが数値微分が可能,\SPA006,\S連続20変数、滑らか、deterministic、1評価10ms、boundsなし。,\SALT_CLOSED_FORM,\SM_BFGS,\SM_COBYQA,\SM_NEWTON,\SO(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,\Sstep感度、変数scale、complex-step可否。,\SI_SCIPY_BFGS;I_SCIPY_COBYQA,\Sfinite-difference cancellation、隠れた分岐。,\Sstep sweepで不安定ならAD/complex-step/DFO。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS002;S056;S057;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SEC004,\S数値微分の評価コストが大きすぎる,\SPA015,\S連続500変数、1評価30分、解析gradientなし、座標差分は不可能。,\SALT_SURROGATE;ALT_DECOMPOSITION,\SM_SPSA,\SM_TURBO_SAASBO,\SM_BFGS,\SSPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,\Snoise、有効次元、parallel数、fidelity。,\SI_NLOPT;I_BOTORCH;I_AX,\SSPSA variance、surrogate misspecification。,\S有効次元なし/進展なしならparameterization再設計。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SEC005,\Snoiseを含むblack-box関数,\SPA013,\S連続15変数、moderate noise、評価5秒、bounds、global candidate。,\SALT_STAT_INFERENCE;ALT_SURROGATE,\SM_CMA_ES,\SM_BAYESIAN_OPT_GP,\SM_BFGS,\SCMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,\Snoise分散、replication、seed、heteroskedasticity。,\SI_PYCMA;I_BOTORCH,\Snoise floor、seed依存、BO過信。,\Sreplicateでnoiseを測り、改善量以下なら停止/再設計。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS032;S035;S059;S033;S040;S058;S074;S034;S036;S037;S038;S069;S075,\Shigh,\S2026-07-13
\SEC006,\S一評価が数時間かかる低次元問題,\SPA014,\S連続6変数、1評価3時間、最大50評価、small noise。,\SALT_SURROGATE;ALT_STAT_INFERENCE,\SM_BAYESIAN_OPT_GP,\SM_DIRECT,\SM_DIFFERENTIAL_EVOLUTION,\Ssurrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,\S安全制約、parallel worker、prior data、multi-fidelity。,\SI_BOTORCH;I_AX,\Smodel mismatch、acquisition duplicate、失敗評価。,\Ssurrogate CV不良ならrandomized space-filling + local refinement。,\Spartial,\S高価評価ではprior/model仮定が強く、追加pilot後に推奨を更新する。,\SS035;S059;S075;S034;S036;S037;S038;S069;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SEC007,\S高次元black-box問題,\SPA015,\S連続1000変数、gradientなし、評価1分、global candidate。,\SALT_DECOMPOSITION;ALT_SURROGATE,\SM_SPSA,\SM_TURBO_SAASBO,\SM_BAYESIAN_OPT_GP,\S通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,\S有効次元、block、sparsity、embedding、noise。,\SI_BOTORCH;I_NLOPT,\S高次元BO破綻、SPSA variance。,\S構造が見つからなければ問題parameterizationを見直す。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS033;S035;S002;S018;S031;S060;S063;S056;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SEC008,\S0-1変数と線形制約,\SPA023,"\Sbinary 10,000個、線形目的・制約、gapが必要。",\SALT_GRAPH;ALT_DYNAMIC_PROGRAMMING,\SM_BRANCH_CUT,\SM_CP_SAT,\SM_SQP,\SMILP/CP-SATでinteger feasibilityとboundをnativeに扱う。SQP連続緩和は不可。,\SLP relaxation、logic、Big-M、time limit。,\SI_SCIPY_MILP_HIGHS;I_SCIP;I_ORTOOLS_CPSAT;I_GUROBI,\Sweak relaxation、symmetry、no incumbent。,\Sroot gap大なら定式化強化/CP-SAT比較。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS005;S016;S021;S024;S025;S028;S022;S053;S079,\Shigh,\S2026-07-13
\SEC009,\S整数変数と非線形目的,\SPA025,\S整数+連続、滑らか非凸目的、非線形制約、global proof希望。,\SALT_RELAXATION;ALT_DECOMPOSITION,\SM_SPATIAL_BRANCH_BOUND,\SM_OUTER_APPROX_MINLP,\SM_GENETIC_ALGORITHM,\Snonconvex MINLPの証明には空間branch-and-bound。OAはconvex連続部分の条件付き。GAは候補解のみ。,\Sfactorability、convexity、bounds、derivative。,\SI_SCIP;I_KNITRO;I_GUROBI,\S緩和弱い、bounds不足、局所NLP失敗。,\S証明不要ならheuristic incumbent生成を併用。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS021;S029;S005;S016;S024;S025;S028,\Shigh,\S2026-07-13
\SEC010,\S線形計画問題,\SPA017,\S連続変数、線形目的・制約、大規模疎、dualが必要。,\SALT_GRAPH;ALT_SPECIALIZED,\SM_DUAL_SIMPLEX,\SM_BARRIER_LP_QP,\SM_SQP,\SLP専用solverは大域性、dual、presolve、sparsityを提供。,\S再最適化、basis、精度、nnz。,\SI_SCIPY_LINPROG_HIGHS;I_HIGHS_NATIVE;I_ORTOOLS_GLOP,\Sinfeasible/unbounded混同、scale、degeneracy。,\S巨大で中精度ならPDLP、再最適化ならdual simplex。,\Spass,\S代替解法precheck、保証種別、評価信頼性、実装/手法分離の各軸で矛盾なし。,\SS004;S016;S055;S010;S012;S013;S014;S062,\Shigh,\S2026-07-13
