case_method_map_id,case_id,method_id,role,fit_id,rationale,source_ids,confidence,last_verified
\SCMM0001,\SEC001,\SM_BFGS,\Sfirst_choice,\SPMF00026,\Sgradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,\SS002;S056;S057,\Shigh,\S2026-07-13
\SCMM0002,\SEC001,\SM_TRUST_EXACT,\Ssecond_choice,\SPMF00027,\Sgradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,\SS002;S056;S003,\Shigh,\S2026-07-13
\SCMM0003,\SEC001,\SM_DIFFERENTIAL_EVOLUTION,\Savoid,\SPMF00030,\Savoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / gradientを使うBFGSは評価効率がよく、dense curvatureが許容される。二階情報が正確ならtrust-exact。,\SS002;S056;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SCMM0004,\SEC002,\SM_LBFGS,\Sfirst_choice,\SPMF00031,\Sdense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,\SS019;S046;S056;S002;S057;S065,\Shigh,\S2026-07-13
\SCMM0005,\SEC002,\SM_NEWTON_CG,\Ssecond_choice,\SPMF00032,\Sdense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,\SS019;S046;S056;S002;S057,\Shigh,\S2026-07-13
\SCMM0006,\SEC002,\SM_NELDER_MEAD,\Savoid,\SPMF00035,\Savoid: 高次元かつ高価;厳密大域証明;離散混合を無変換で扱う / dense Hessianを持たずlow-memory/HVPを利用。Nelder-Meadはn+1 geometryと評価数で不適。,\SS019;S046;S056;S002;S018;S031;S060;S063,\Smedium,\S2026-07-13
\SCMM0007,\SEC003,\SM_BFGS,\Sfirst_choice,\SPMF00026,\SO(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,\SS002;S056;S057,\Shigh,\S2026-07-13
\SCMM0008,\SEC003,\SM_COBYQA,\Ssecond_choice,\N,\SO(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,\SS002;S056;S018;S031;S060;S063,\Shigh,\S2026-07-13
\SCMM0009,\SEC003,\SM_NEWTON,\Savoid,\SPMF00028,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / O(n)程度の数値微分費が許容されるためBFGSを試せる。COBYQAは微分推定が不安定な場合。,\SS002;S056;S057,\Smedium,\S2026-07-13
\SCMM0010,\SEC004,\SM_SPSA,\Sfirst_choice,\SPMF00072,\SSPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,\SS033;S035;S002;S018;S031;S060;S063;S056,\Shigh,\S2026-07-13
\SCMM0011,\SEC004,\SM_TURBO_SAASBO,\Ssecond_choice,\SPMF00071,\SSPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,\SS033;S035;S034;S036;S037;S038;S059;S069;S075,\Shigh,\S2026-07-13
\SCMM0012,\SEC004,\SM_BFGS,\Savoid,\N,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / SPSAはgradient estimate当たり少数評価。低有効次元なら高次元BO。通常数値微分BFGSはbudget超過。,\SS033;S035;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0013,\SEC005,\SM_CMA_ES,\Sfirst_choice,\SPMF00062,\SCMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,\SS032;S035;S059;S033;S040;S058;S074,\Shigh,\S2026-07-13
\SCMM0014,\SEC005,\SM_BAYESIAN_OPT_GP,\Ssecond_choice,\SPMF00063,\SCMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,\SS032;S035;S059;S034;S036;S037;S038;S069;S075,\Shigh,\S2026-07-13
\SCMM0015,\SEC005,\SM_BFGS,\Savoid,\SPMF00065,\Savoid: 不連続;評価ノイズが勾配を支配;離散変数 / CMA-ESはnoiseに比較的頑健。評価が高価ならnoise model付きBO。deterministic line searchは不安定。,\SS032;S035;S059;S002;S056;S057,\Smedium,\S2026-07-13
\SCMM0016,\SEC006,\SM_BAYESIAN_OPT_GP,\Sfirst_choice,\SPMF00066,\Ssurrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,\SS035;S059;S075;S034;S036;S037;S038;S069,\Shigh,\S2026-07-13
\SCMM0017,\SEC006,\SM_DIRECT,\Ssecond_choice,\SPMF00068,\Ssurrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,\SS035;S059;S075;S006;S007;S008;S009;S072;S073;S074,\Shigh,\S2026-07-13
\SCMM0018,\SEC006,\SM_DIFFERENTIAL_EVOLUTION,\Savoid,\SPMF00070,\Savoid: 高次元高価で構造なし;局所解で十分;証明必須なのにheuristicのみ / surrogateで評価を選別。DIRECTはdeterministic baselineだが予算要注意。population法defaultは危険。,\SS035;S059;S075;S006;S007;S008;S009;S072;S073;S074,\Smedium,\S2026-07-13
\SCMM0019,\SEC007,\SM_SPSA,\Sfirst_choice,\SPMF00072,\S通常GP-BOを無条件に推さず、SPSAまたは有効次元仮定付きTuRBO/SAASBO。まず次元削減。,\SS033;S035;S002;S018;S031;S060;S063;S056,\Shigh,\S2026-07-13
