backlog_id,area,priority,issue,proposed_action,acceptance_criteria,dependencies,status,target_version,owner,source_ids,notes,created_date
\SB001,\Ssoftware_metadata,\Scritical,\SNOMAD・Manopt等のexact license fileを一次資料で再確認,\Sofficial repository license fileをversion pinして記録,\Slicense fieldにSPDX idとcommit/dateが入る,\S,\Sdone,\S0.2.0,\Sunassigned,\SS092;S094,\SExact licenses verified for Manopt MATLAB and NOMAD from official repositories.,\S2026-07-13
\SB002,\Ssoftware_metadata,\Scritical,\S全63実装のcurrent release version/date自動検証,\Sofficial release/APIから定期取得するpipeline,\Sversion drift reportが生成される,\S,\Sin_progress,\S0.3+,\Sunassigned,\S,\Sv0.2.0 refreshed high-usage/open-source implementations; remaining unknown release fields stay explicit.,\S2026-07-13
\SB003,\Ssoftware_metadata,\Shigh,\Ssolver option default値のversion別snapshot,\S重要optionのみofficial docsから構造化,\Sversioned option tableが追加される,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB004,\Ssoftware_metadata,\Shigh,\SOS/architecture/GPU対応のCI確認,\Sofficial wheel/binary/build matrixを取得,\Ssupported platform matrixがversion付き,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB005,\Smethods,\Shigh,\SBARON・ANTIGONE等global NLP commercial solver追加,\Sofficial manualでproblem class/証明範囲調査,\Sglobal solver rowsとfit追加,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB006,\Smethods,\Shigh,\SBonmin/Couenne等open-source MINLP実装の現状確認,\Smaintenance/license/releaseを公式repoで確認,\Scurrentness付きimplementation rows,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB007,\Smethods,\Smedium,\SECOS等cone solverの現行性・deprecated context追加,\Sofficial sourcesでstatus確認,\Sconic implementation coverage改善,\S,\Sopen,\Sfuture,\Sunassigned,\S,\S,\S2026-07-13
\SB008,\Sproblem_classes,\Shigh,\Sstochastic programming専用method/solver拡充,\SBenders、progressive hedging、SDDPを追加,\Sscenario/decomposition fit 30件以上,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB009,\Sproblem_classes,\Shigh,\Srobust/DRO formulation taxonomy拡充,\Suncertainty set、Wasserstein等を分離,\Sfeature/valueとsolver mapping追加,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
\SB010,\Sproblem_classes,\Shigh,\Sbilevel optimization taxonomy拡充,\SKKT reformulation、implicit differentiation、global bilevelを分離,\SPA046が複数archetypeへ正規化,\S,\Sopen,\S0.2+,\Sunassigned,\S,\S,\S2026-07-13
