implementation_id,library_name,solver_name,api_name,method_selector,language,license,commercial_model,free_use_conditions,open_source,os_support,problem_formats,variable_support,constraint_support,analytic_derivatives,autodiff,numerical_diff,sparse_support,parallelism,gpu_support,warm_start,callback,termination_controls,initialization,constraint_violation_reporting,optimality_info,dual_variables,optimality_gap,sensitivity_info,status_codes,major_options,default_safety,documentation_quality,beginner_usability,maintenance_status,last_release,last_verified,official_docs_url,official_repo_url,usage_example,notes,supported_method_ids,implementation_differences,source_ids,confidence
\SI_ACADOS,\Sacados,\Sacados,\SAcadosOcpSolver / native,\S,\SC;Python;Matlab/Octave,\SBSD-2-Clause,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Soptimal control;NMPC;MHE,\Scontinuous state/control/trajectory,\Sdynamics;path;bounds;terminal constraints,\Syes/generated,\Svia_CasADi,\Sexternal,\Syes_structured,\Syes_by_backend,\Sno,\Syes_critical,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\SKKT_not_global,\Syes,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sexpert_configuration,\Shigh,\Sexpert,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://docs.acados.org/,\Shttps://github.com/acados/acados,\SAcadosOcpSolver / native(...),\Sreal-time iteration、condensing、integrator、QP solver、scalingを一体で検証。,\SM_MULTIPLE_SHOOTING;M_SQP;M_ILQR_DDP;M_ADMM_QP,\S,\SS043;S076,\Shigh
\SI_AX,\SAx,\SAx adaptive experimentation,\Sax.service / AxClient,\S,\SPython,\SMIT,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Sadaptive experimentation and Bayesian optimization,\Scontinuous;integer;categorical;conditional,\Sparameter/outcome constraints;multiobjective,\Sno,\Svia_BoTorch,\Sno,\Smodel_dependent,\Sbatch/asynchronous,\Svia_BoTorch,\Syes_experiment_storage,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sno,\Sno,\Smodel_diagnostics,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\S1.3.1 (official site observed),\S2026-07-13,\Shttps://ax.dev/,\Shttps://github.com/facebook/Ax,\Sax.service / AxClient(...),\Sservice/modelbridge層。generation strategyとunderlying BoTorch modelを分離して記録。,\SM_BAYESIAN_OPT_GP;M_TURBO_SAASBO;M_RANDOM_SEARCH,\S,\SS036,\Shigh
\SI_BOTORCH,\SBoTorch,\SBoTorch Bayesian optimization,\Sbotorch / optimize_acqf,\Smodel/acquisition,\SPython,\SMIT,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SBayesian optimization;expensive black-box;multiobjective BO,\Scontinuous;integer/categorical via models or relaxations,\Sbounds;outcome constraints;black-box constraints by modeling,\Soptional_observation_gradients,\Syes_PyTorch,\Sno,\Smodel_dependent,\Sbatch q-acquisition,\Syes_PyTorch,\Syes_data/model_state,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sno,\Sno,\Sposterior_and_acquisition_gradients,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Smodeling_required,\Shigh,\Sexpert,\Sactive_docs_verified,\S0.18.1 (official site observed),\S2026-07-13,\Shttps://botorch.org/,\Shttps://github.com/pytorch/botorch,"\Sbotorch / optimize_acqf(..., method='model/acquisition')",\Sposterior uncertaintyは最適性証明ではない。outcome transform、noise model、acquisition optimizationを検査。,\SM_BAYESIAN_OPT_GP;M_TURBO_SAASBO,\S,\SS035,\Shigh
\SI_CASADI,\SCasADi,\SCasADi + NLP/QP plugins,\Scasadi.nlpsol / qpsol,\Splugin name,\SPython;C++;Matlab,\SLGPL-3.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Ssymbolic/AD NLP;optimal control;QP,\Scontinuous;trajectory,\Sbounds;linear;nonlinear;dynamics through transcription,\Ssymbolic_AD,\Syes,\Spossible_but_not_primary,\Syes,\Smap/mapaccum/codegen,\Slimited/external,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes_backend,\Sbackend_dependent,\Syes_AD,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Splugin_selection_required,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://web.casadi.org/docs/,\Shttps://github.com/casadi/casadi,"\Scasadi.nlpsol / qpsol(..., method='plugin name')",\SCasADiはAD/modelingとsolver plugin層。Ipopt等backendの保証・licenseを別に記録。,\SM_INTERIOR_POINT_NLP;M_SQP;M_MULTIPLE_SHOOTING;M_DIRECT_COLLOCATION,\S,\SS042,\Shigh
\SI_CBC,\SCOIN-OR Cbc,\SCbc,\Scbc / cylp / PuLP backend,\S,\SC++;Python wrappers;others,\SEPL-2.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SMILP,\Scontinuous;integer;binary,\Sbounds;linear,\Snot_applicable,\Sno,\Snot_applicable,\Syes,\Slimited,\Sno,\Simplementation_dependent,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Srelaxation,\Syes,\Slimited,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://github.com/coin-or/Cbc,\Shttps://github.com/coin-or/Cbc,\Scbc / cylp / PuLP backend(...),\S,\SM_BRANCH_CUT,\S,\SS026,\Shigh
\SI_CERES,\SCeres Solver,\SCeres,\Sceres::Solve,\S,\SC++,\SBSD-3-Clause,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\Snonlinear least squares;general unconstrained cost,\Scontinuous parameter blocks,\Sbounds;manifold parameterizations;residual blocks,\Syes,\Syes,\Syes,\Syes,\Syes_residuals/linear_solver,\Sno,\Svia_parameters,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Sno,\Sno,\Scovariance_tools,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood_for_least_squares,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://ceres-solver.readthedocs.io/latest/,\Shttps://github.com/ceres-solver/ceres-solver,\Sceres::Solve(...),\Srobust loss、Schur structure、local parameterization/manifold、linear solver choiceが重要。,\SM_GAUSS_NEWTON;M_LEVENBERG_MARQUARDT;M_TRUST_KRYLOV,\S,\SS041;S077,\Shigh
\SI_CLARABEL,\SClarabel,\SClarabel,\Sclarabel.DefaultSolver / wrappers,\S,\SRust;Python;Julia;R;C,\SApache-2.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SLP;QP;SOCP;exponential/power cone,\Scontinuous;cone variables,\Slinear cone constraints,\Snot_applicable,\Sno,\Snot_applicable,\Syes,\Slinear_algebra_backend,\Sno,\Simplementation_dependent,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Sno,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://clarabel.org/stable/,\Shttps://github.com/oxfordcontrol/Clarabel.rs,\Sclarabel.DefaultSolver / wrappers(...),\Shomogeneous embeddingを必要としないinterior-point conic solver。対応coneとwrapper差を確認。,\SM_PRIMAL_DUAL_CONIC;M_BARRIER_LP_QP,\S,\SS014,\Shigh
\SI_CPLEX,\SIBM ILOG CPLEX,\SCPLEX,\Sdocplex / cplex API,\S,\SPython;C;C++;Java;.NET;others,\SProprietary,\Scommercial_with_free_tiers,\SCommunity/academic/commercial terms vary; verify current license.,\Sno,\Scross_platform,\SLP;QP;QCP;MIP;MIQP;MIQCP,\Scontinuous;integer;binary;semi-continuous,\Slinear;quadratic;logical/SOS,\Smodel_based,\Sno,\Snot_applicable,\Syes,\Syes,\Sno,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Syes_for_supported_models,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sgood,\Shigh,\Shigh,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://www.ibm.com/docs/en/icos,\S,\Sdocplex / cplex API(...),\S,\SM_SIMPLEX;M_BARRIER_LP_QP;M_BRANCH_CUT,\S,\SS025,\Shigh
\SI_CVXOPT,\SCVXOPT,\SCVXOPT solvers,\Scvxopt.solvers.lp/qp/conelp/coneqp,\S,\SPython;C extensions,\SGPL-3.0,\Sopen_source,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SLP;convex QP;conic,\Scontinuous;cone variables,\Slinear;conic,\Snot_applicable,\Sno,\Snot_applicable,\Syes,\SBLAS_backend,\Sno,\Spartial,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes,\Syes,\Sno,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional,\Shigh,\Smedium,\Sactive_docs_verified,\Sunknown,\S2026-07-13,\Shttps://cvxopt.org/,\Shttps://github.com/cvxopt/cvxopt,\Scvxopt.solvers.lp/qp/conelp/coneqp(...),\S,\SM_BARRIER_LP_QP;M_PRIMAL_DUAL_CONIC,\S,\SS015,\Shigh
\SI_CVXPY,\SCVXPY,\SDisciplined convex programming modeler,\Scvxpy.Problem.solve,\Ssolver=...,\SPython,\SApache-2.0,\Smodeling_layer,\SOpen-source license terms apply.,\Syes,\Scross_platform,\SModeling layer; backend-dependent LP/QP/conic/MIP,\Scontinuous;integer;boolean;complex by atoms,\SDCP/DGP/DQCP and backend constraints,\Ssymbolic_canonicalization,\Spartial_DPP/derivative_features,\Sno,\Syes,\Sbackend_dependent,\Sbackend_dependent,\Syes,\Simplementation_dependent,\Stolerance;iteration_limit;time_or_evaluation_limit_by_api,\Sinitial_guess_or_model_dependent,\Syes,\Syes,\Syes_for_supported_constraints,\Sbackend_dependent,\Sconditional_DPP,\Syes,\Stolerances;limits;scaling;verbosity;method_specific_options,\Sconditional_backend_selection,\Shigh,\Shigh,\Sactive_docs_verified,\S1.9.1,\S2026-07-13,\Shttps://www.cvxpy.org/,\Shttps://github.com/cvxpy/cvxpy,"\Scvxpy.Problem.solve(..., method='solver=...')",\SCVXPYはalgorithm自体ではなくmodeling/canonicalization層。DCP規則とbackend capabilityを分けて記録。,\SM_PRIMAL_DUAL_CONIC;M_ADMM_QP;M_BRANCH_CUT;M_BARRIER_LP_QP,\S,\SS010;S011;S086,\Shigh
