problem_id,name_ja,name_en,summary,domain_group,canonical_form,primary_variable_type,objective_structure,constraint_structure,convexity,smoothness,derivative_access,typical_dimension,typical_evaluation_cost,typical_noise,evaluation_reliability,solution_requirement,special_structure,repeated_solve_mode,parallel_budget,generic_optimization_appropriate,alternative_check_ids,example_domains,first_questions,source_ids,confidence,last_verified
\SPA001,\S閉形式解候補,\SClosed-form candidate,\S閉形式解候補。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Sprecheck,\Sminimize general_nonlinear; subject to unconstrained,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Sunknown,\Ssmooth,\Sanalytic_gradient,\Svery_low,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_CLOSED_FORM;ALT_SYMBOLIC,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS055;S056,\Shigh,\S2026-07-13
\SPA002,\S線形方程式に還元,\SLinear-system reducible,\S線形方程式に還元。変数=continuous、目的=equation_residual、制約=unconstrained。,\Sprecheck,\Sminimize equation_residual; subject to unconstrained,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_LINEAR_SYSTEM,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054;S056,\Shigh,\S2026-07-13
\SPA003,\S固有値・特異値問題,\SEigenvalue/SVD,\S固有値・特異値問題。変数=matrix、目的=quadratic、制約=manifold。,\Sprecheck,\Sminimize quadratic; subject to manifold,\Smatrix,\Squadratic,\Smanifold,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Slow_rank,\Sone_off,\Sserial,\Sconditional,\SALT_EIGEN,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS054;S071,\Shigh,\S2026-07-13
\SPA004,\S方程式の求根,\SRoot finding,\S方程式の求根。変数=continuous、目的=equation_residual、制約=unconstrained。,\Sprecheck,\Sminimize equation_residual; subject to unconstrained,\Scontinuous,\Sequation_residual,\Sunconstrained,\Sunknown,\Ssmooth,\Sjacobian,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_ROOT;ALT_LEAST_SQUARES,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS080;S056,\Shigh,\S2026-07-13
\SPA005,\S線形最小二乗,\SLinear least squares,\S線形最小二乗。変数=continuous、目的=sum_of_squares、制約=unconstrained。,\Sleast_squares,\Sminimize sum_of_squares; subject to unconstrained,\Scontinuous,\Ssum_of_squares,\Sunconstrained,\Sconvex,\Ssmooth,\Sjacobian,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sglobal_proof,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_LEAST_SQUARES;ALT_LINEAR_SYSTEM,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS003;S056,\Shigh,\S2026-07-13
\SPA006,\S滑らかな低次元無制約,\SSmooth low-dimensional unconstrained,\S滑らかな低次元無制約。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Scontinuous_nlp,\Sminimize general_nonlinear; subject to unconstrained,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Slow,\Scheap,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_CLOSED_FORM;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS002;S056,\Shigh,\S2026-07-13
\SPA007,\S高次元・勾配利用可能,\SHigh-dimensional with gradients,\S高次元・勾配利用可能。変数=continuous、目的=general_nonlinear、制約=unconstrained。,\Scontinuous_nlp,\Sminimize general_nonlinear; subject to unconstrained,\Scontinuous,\Sgeneral_nonlinear,\Sunconstrained,\Snonconvex,\Ssmooth,\Sautomatic_differentiation,\Shigh,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS019;S046;S056,\Shigh,\S2026-07-13
\SPA008,\S上下限制約付き滑らか,\SSmooth bound-constrained,\S上下限制約付き滑らか。変数=continuous、目的=general_nonlinear、制約=bounds。,\Scontinuous_nlp,\Sminimize general_nonlinear; subject to bounds,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Scheap,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_PROJECTION_PROX;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS002;S065,\Shigh,\S2026-07-13
\SPA009,\S一般滑らか制約付きNLP,\SSmooth constrained NLP,\S一般滑らか制約付きNLP。変数=continuous、目的=general_nonlinear、制約=mixed。,\Scontinuous_nlp,\Sminimize general_nonlinear; subject to mixed,\Scontinuous,\Sgeneral_nonlinear,\Smixed,\Snonconvex,\Ssmooth,\Sanalytic_gradient,\Smedium,\Smoderate,\Sdeterministic,\Sreliable,\Slocal_stationary,\Ssparse,\Sone_off,\Sserial,\Sconditional,\SALT_SPECIALIZED;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS017;S029;S030;S056,\Shigh,\S2026-07-13
\SPA010,\S非滑らか凸複合,\SNonsmooth convex composite,\S非滑らか凸複合。変数=continuous、目的=composite、制約=unconstrained。,\Sconvex_composite,\Sminimize composite; subject to unconstrained,\Scontinuous,\Scomposite,\Sunconstrained,\Sconvex,\Snonsmooth,\Ssubgradient,\Shigh,\Scheap,\Sdeterministic,\Sreliable,\Sconvex_global,\Sseparable,\Sone_off,\Sserial,\Sconditional,\SALT_PROJECTION_PROX,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS055;S066;S067,\Shigh,\S2026-07-13
\SPA011,\S一般非滑らか局所,\SGeneral nonsmooth local,\S一般非滑らか局所。変数=continuous、目的=general_nonlinear、制約=bounds。,\Scontinuous_nlp,\Sminimize general_nonlinear; subject to bounds,\Scontinuous,\Sgeneral_nonlinear,\Sbounds,\Snonconvex,\Snonsmooth,\Snone_available,\Slow,\Scheap,\Sdeterministic,\Sreliable,\Slocal_stationary,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS018;S031;S060,\Shigh,\S2026-07-13
\SPA012,\S不連続決定論black-box,\SDiscontinuous deterministic black box,\S不連続決定論black-box。変数=continuous、目的=simulation、制約=bounds。,\Sblack_box,\Sminimize simulation; subject to bounds,\Scontinuous,\Ssimulation,\Sbounds,\Snonconvex,\Sdiscontinuous,\Snone_available,\Slow,\Smoderate,\Sdeterministic,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_SURROGATE;ALT_SIMULATION_SEARCH,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS031;S033,\Shigh,\S2026-07-13
\SPA013,\Snoiseを含むblack-box,\SNoisy black box,\Snoiseを含むblack-box。変数=continuous、目的=simulation、制約=bounds。,\Sblack_box,\Sminimize simulation; subject to bounds,\Scontinuous,\Ssimulation,\Sbounds,\Snonconvex,\Snonsmooth,\Snone_available,\Slow,\Smoderate,\Smoderate_noise,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_SURROGATE;ALT_STAT_INFERENCE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS032;S035;S059,\Shigh,\S2026-07-13
\SPA014,\S非常に高価な低次元評価,\SVery expensive low-dimensional,\S非常に高価な低次元評価。変数=continuous、目的=simulation、制約=bounds。,\Sblack_box,\Sminimize simulation; subject to bounds,\Scontinuous,\Ssimulation,\Sbounds,\Sunknown,\Sunknown,\Snone_available,\Svery_low,\Svery_expensive,\Ssmall_noise,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_SURROGATE;ALT_GENERIC_OPT,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS035;S059;S075,\Shigh,\S2026-07-13
\SPA015,\S高次元black-box,\SHigh-dimensional black box,\S高次元black-box。変数=continuous、目的=simulation、制約=bounds。,\Sblack_box,\Sminimize simulation; subject to bounds,\Scontinuous,\Ssimulation,\Sbounds,\Snonconvex,\Sunknown,\Snone_available,\Shigh,\Sexpensive,\Sunknown,\Sreliable,\Sglobal_candidate,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_DECOMPOSITION;ALT_SURROGATE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS033;S035,\Shigh,\S2026-07-13
\SPA016,\S失敗・NaNを伴うsimulation,\SFailed-evaluation simulation,\S失敗・NaNを伴うsimulation。変数=mixed、目的=simulation、制約=implicit。,\Sblack_box,\Sminimize simulation; subject to implicit,\Smixed,\Ssimulation,\Simplicit,\Snonconvex,\Sdiscontinuous,\Snone_available,\Smedium,\Sexpensive,\Sunknown,\Sreliable,\Sfeasible_only,\Sdense,\Sone_off,\Sserial,\Sconditional,\SALT_FEASIBILITY;ALT_SURROGATE,\S,\S変数型、制約、微分、評価費、noise、次元、必要保証を確認。,\SS031;S035,\Shigh,\S2026-07-13
